Album,Artist,Cover URL
So Close to What,Tate McRae,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png
Mad Season,Matchbox Twenty,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg
California (Deluxe Edition),blink-182,https://lastfm.freetls.fastly.net/i/u/300x300/ccd85fcfa4370e1df83a67c7fa79096c.png
blink-182,blink-182,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
Nimrod,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/cc7bcc37cf9f88e4700dfb9500d1b241.jpg
Death of a Bachelor,Panic! at the Disco,https://lastfm.freetls.fastly.net/i/u/300x300/257fe11067041f5b10e758f64afb601e.jpg
21st Century Breakdown,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/72a314e1e9064a0418159b144fe1ad72.jpg
Talking Is Hard,Walk the Moon,https://lastfm.freetls.fastly.net/i/u/300x300/7fee8351f9424cb78d67ac5af0a75b52.jpg
North (Deluxe Edition),Matchbox Twenty,https://lastfm.freetls.fastly.net/i/u/300x300/e83aa4de0c404dafb2fbed94789c903b.jpg
All I Ever Wanted,Kelly Clarkson,https://lastfm.freetls.fastly.net/i/u/300x300/6eb2d8d5b34d5744320e1a0e260085d9.png
Get Your Heart On! (Deluxe Edition),Simple Plan,https://lastfm.freetls.fastly.net/i/u/300x300/30a16584138b41e8b8753314724c12b0.jpg
Hands All Over (Revised Asia Standard Version),Maroon 5,https://lastfm.freetls.fastly.net/i/u/300x300/295b6c214f1e1ac7d662de107c0f8aee.jpg
X-sex,Six Sex,https://lastfm.freetls.fastly.net/i/u/300x300/a713a193d9d6f5e7687aa00353aba089.jpg
Red (Taylor's Version),Taylor Swift,https://lastfm.freetls.fastly.net/i/u/300x300/a758908e6e86dcecbb199c4b19acb799.jpg
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg
All Killer No Filler,Sum 41,https://lastfm.freetls.fastly.net/i/u/300x300/dd9846d796fc425bbd8aecdc6129c7c2.png
Short n' Sweet,Sabrina Carpenter,https://lastfm.freetls.fastly.net/i/u/300x300/9ba24340be42673d5301c97cc5259a5e.png
Nick Jonas X2,Nick Jonas,https://lastfm.freetls.fastly.net/i/u/300x300/283c446453702536466e9ff122287dd2.png
Three Cheers for Sweet Revenge,My Chemical Romance,https://lastfm.freetls.fastly.net/i/u/300x300/09cb27a9f908354fd210a07830951791.png
Strategy,TWICE,https://lastfm.freetls.fastly.net/i/u/300x300/b2d5131f8ae46f912bc73e2e96b1dfc1.jpg
1989 (Taylor's Version),Taylor Swift,https://lastfm.freetls.fastly.net/i/u/300x300/f58d29605321bc6e1ee4da6ae5a0cb4a.jpg
From Under the Cork Tree,Fall Out Boy,https://lastfm.freetls.fastly.net/i/u/300x300/73ff2d6aea6d465ac6b9a697ce4c6168.png
More Than You Think You Are,Matchbox Twenty,https://lastfm.freetls.fastly.net/i/u/300x300/daa17282a85d8e8f783ca5cd1c873638.jpg
The Black Parade,My Chemical Romance,https://lastfm.freetls.fastly.net/i/u/300x300/7675defb2787ce67cd030081eb8ff77c.png
Enema of the State,blink-182,https://lastfm.freetls.fastly.net/i/u/300x300/fa585497562506b87fd59b41dfc53ff7.jpg
BRAT,Charli XCX,https://lastfm.freetls.fastly.net/i/u/300x300/b00527c6ae0cd1d4c9bf3706b130ad56.jpg
Brat and it’s completely different but also still brat,Charli XCX,https://lastfm.freetls.fastly.net/i/u/300x300/eb95fe205d644df99434a94f410ffc6c.png
Imaginal Disk,Magdalena Bay,https://lastfm.freetls.fastly.net/i/u/300x300/40e357a8c9962876e806cc5328a383e0.jpg
Danger Days: The True Lives of the Fabulous Killjoys,My Chemical Romance,https://lastfm.freetls.fastly.net/i/u/300x300/5d859232fed7488a82d37ecabb232fce.png
American Idiot,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/5bcb675866706c229ad9f77188b8ac44.jpg
Stronger (Deluxe Version),Kelly Clarkson,https://lastfm.freetls.fastly.net/i/u/300x300/191becbaaf774309a6c0db331f817656.png
Brat and it’s completely different but also still brat,Charli xcx,https://lastfm.freetls.fastly.net/i/u/300x300/eb95fe205d644df99434a94f410ffc6c.png
How Far We've Come,Matchbox Twenty,https://lastfm.freetls.fastly.net/i/u/300x300/d62502b5e8134403b1f6b997b609e24d.jpg
Exile On Mainstream (International),Matchbox Twenty,https://lastfm.freetls.fastly.net/i/u/300x300/c65aa56bb4314f4acf4a06c691e3d584.jpg
Melodrama,Lorde,https://lastfm.freetls.fastly.net/i/u/300x300/06483355fe8ff1b4eb335c7d9704d84c.jpg
Midnights (3am Edition),Taylor Swift,https://lastfm.freetls.fastly.net/i/u/300x300/8cf29cb75e6adfb8700b1665105a0ac8.jpg
