Song Name,Artist Name,Image Link,2020-05-08,2020-05-15,2020-05-22,2020-05-29,2020-06-05,2020-06-19,2020-06-26,2020-07-03,2020-07-10,2020-07-17,2020-07-24,2020-07-31,2020-08-07,2020-08-14,2020-08-21,2020-08-28,2020-09-11,2020-09-18,2020-09-25,2020-10-02,2020-10-09,2020-10-16,2020-10-23,2020-10-30,2020-11-13,2020-11-27,2020-12-04,2020-12-11,2020-12-18,2021-01-01
To Heart,fromis_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
In The Middle,dodie,,79,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,
Love Letter,이달의 소녀,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
9와 4분의 3 승강장에서 너를 기다려 (Run Away),TXT,,,,,,,,,,,10,,,,,20,,9,,48,,,,,,,25,,,,
Bubble Pop!,HyunA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
365,LOONA (이달의 소녀),,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
Love Somebody,Maroon 5,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNSET,TWICE (트와이스),,87,20,,,,,,,,,,,,,,,,,,24,,,,,,,,,,
Scars to Your Beautiful,Alessia Cara,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
Drama Club,Melanie Martinez,,,,,,,,,,13,,,,,,,,,,,,,,,,,27,,35,,
Shower,Becky G,,,16,,,,12,,,,,,,,,,,,,,,,,,,,,,,,
I Know What I Want,Taylor Swift,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,
I Did Something Bad,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
cardigan,Taylor Swift,,,,,,,,,,,,10,,,,,,,,33,,,,,,,,,,,
La Rouge,Red Velvet,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,
One Last Time,Ariana Grande,,6,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,
Top Gang,MCND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
놀이 (Naughty),레드벨벳-아이린 & 슬기,,,,,,,,,,,,,,,,,,,10,,,19,,,,,,23,,,
Almost Is Never Enough,Ariana Grande & Nathan Sykes,,50,31,,,,,,,,,,,,,,,11,,,,,,,,,,,,,
Bing Bing,Red Velvet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,
I am YOU,Stray Kids (스트레이 키즈),,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIT,세븐틴 Seventeen,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,
Fake & True,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,
DUN DUN,Everglow,,10,,,,,,,,,,,,,,7,,,,17,,,,,,,,,,,
This Is Why We Can’t Have Nice Things,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Your Gravity,UP10TION,,68,32,,,,,,,,,,,4,,3,,,,19,,,,,,,,,,,
Woman Like Me (feat. Nicki Minaj),Little Mix,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
Happy,WJSN,,,,,7,7,,,,,,,,,,,,,,20,,,,,,,24,,,,
Mojito,Red Velvet,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,
Red Dress,Red Velvet (레드벨벳),,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
Uncover (Sung by SEULGI) (Bonus Track),Red Velvet - IRENE & SEULGI,,,,,,,,,,,,,1,,,,,,,79,,18,,,,,,,,,
해야 (Sunrise),여자친구 (GFriend),,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
니가 하면 If You Do,GOT7 - PlanetLagu.com,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
