Song Name,Artist Name,Album Name,Image Link,22-01-07,22-01-14,22-01-21,22-01-28,22-02-04,22-02-11,22-02-18,22-02-25,22-03-04,22-03-11,22-03-18,22-03-25,22-04-01,22-04-08,22-04-15,22-04-22,22-04-29,22-05-06,22-05-13,22-05-20,22-05-27,22-06-03,22-06-10,22-06-17,22-06-24,22-07-01,22-07-08,22-07-15,22-07-22,22-07-29,22-08-05,22-08-12,22-08-19,22-08-26,22-09-02,22-09-09,22-09-16,22-09-23,22-09-30,22-10-07,22-10-14,22-10-21,22-10-28,22-11-04,22-11-11,22-11-18,22-11-25,22-12-02,22-12-09,22-12-16,22-12-23,22-12-30
Forever Winter (Taylor's Version) (From the Vault),Taylor Swift,Red (Taylor's Version),https://lastfm.freetls.fastly.net/i/u/300x300/a758908e6e86dcecbb199c4b19acb799.jpg,1,1,3,8,21,20,5,21,20,44,32,,,,,,,64,76,100,,,55,,,,89,77,79,55,40,49,,,,,91,,,81,,87,,,,,,,,,,
Death by a Thousand Cuts,Taylor Swift,Lover,https://lastfm.freetls.fastly.net/i/u/300x300/d3f083370c371a3ba1cddafaf193c27d.jpg,2,,46,,,,,,,,,,46,75,79,,,,,,,,,,,,,,,77,,,,,,83,,,,,,72,,35,53,59,,,,,10,
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From the Vault),Taylor Swift,Red (Taylor's Version),https://lastfm.freetls.fastly.net/i/u/300x300/a758908e6e86dcecbb199c4b19acb799.jpg,3,17,6,18,8,15,7,10,27,39,,,,,,,,65,,,,,81,,,,,73,,64,48,,,,,,92,,,,,,39,17,,45,,,,,,
Red (Taylor's Version),Taylor Swift,Red (Taylor's Version),https://lastfm.freetls.fastly.net/i/u/300x300/a758908e6e86dcecbb199c4b19acb799.jpg,5,4,2,7,9,5,,66,65,58,,,,66,,,,66,54,55,39,,,,,,,,,,41,51,58,71,27,4,4,14,15,27,40,,61,48,41,33,38,32,50,19,,
Treacherous (Taylor's Version),Taylor Swift,Red (Taylor's Version),https://lastfm.freetls.fastly.net/i/u/300x300/a758908e6e86dcecbb199c4b19acb799.jpg,6,9,5,4,16,17,,49,41,64,,,,47,66,,,,,,,,,,,,60,,,,,,,,,12,8,3,9,12,21,30,57,76,40,8,4,10,10,13,,
Getaway Car,Taylor Swift,Reputation,https://lastfm.freetls.fastly.net/i/u/300x300/05df79341035d53b68eb846764365e02.png,8,10,20,12,,34,,,,,,,,,,,,,,,,,,,,,87,,93,,,,,,,,,,,,,,,,,,,,,,,
Teardrops on My Guitar - Radio Single Remix,Taylor Swift,Taylor Swift,https://lastfm.freetls.fastly.net/i/u/300x300/0213873e015e36cfda289e7d77f96bdb.png,9,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You’re Not Sorry (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),https://lastfm.freetls.fastly.net/i/u/300x300/1aaa3638ee0bfee0ba8089c78ad63b26.jpg,10,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,56,53,,,,,,75,,,,,,,,,,,,,,
Breathe (feat. Colbie Caillat) (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),https://lastfm.freetls.fastly.net/i/u/300x300/1aaa3638ee0bfee0ba8089c78ad63b26.jpg,11,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,58,54,,98,,,,77,,86,,,,,,,,,,,,
All Too Well (Taylor's Version),Taylor Swift,Red (Taylor's Version),https://lastfm.freetls.fastly.net/i/u/300x300/a758908e6e86dcecbb199c4b19acb799.jpg,12,2,1,1,2,1,1,3,2,5,8,,35,11,17,17,11,16,14,10,21,31,10,29,37,56,53,9,12,19,18,33,26,34,29,28,12,18,28,15,29,38,59,14,8,5,3,2,13,14,,
Back to December,Taylor Swift,Speak Now (Deluxe Package),https://lastfm.freetls.fastly.net/i/u/300x300/48c0470785481694dfa57d4c67fe441f.jpg,13,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
