Song Name,Artist Name,Album Name,Image Link,2024-01-05,2024-01-12,2024-01-19,2024-01-26,2024-02-02,2024-02-09,2024-02-16,2024-02-23,2024-03-01,2024-03-08,2024-03-15,2024-03-22,2024-03-29,2024-04-05,2024-04-12,2024-04-19,2024-04-26,2024-05-03,2024-05-10,2024-05-17,2024-05-24,2024-05-31,2024-06-07,2024-06-14,2024-06-21,2024-06-28,2024-07-05,2024-07-12,2024-07-19,2024-07-26,2024-08-02,2024-08-09,2024-08-16,2024-08-23,2024-08-30,2024-09-06,2024-09-13,2024-09-20,2024-09-27,2024-10-04,2024-10-11,2024-10-18,2024-10-25,2024-11-01,2024-11-08,2024-11-15,2024-11-22
The Manuscript,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,47,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robin,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,37,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bolter,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,48,60,,,,,97,,51,19,13,17,35,35,91,77,,43,,75,87,,,,,,,,,,20,34
Peter,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,49,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassandra,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,50,62,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,
The Prophecy,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,51,63,,,,,,,59,67,,,,,,,,,,,,,,,,,,,,,,
I Look in People's Windows,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,52,64,,,,,,,49,8,9,6,15,15,42,58,,52,31,41,28,40,49,33,35,31,42,39,40,38,29,46
thanK you aIMee,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,53,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Hate It Here,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,54,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
So High School,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,55,49,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,
How Did It End?,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,56,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloe or Sam or Sophia or Marcus,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,57,68,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Albatross,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,58,39,,70,,,,,76,21,17,10,20,23,53,62,,44,,76,88,,,,,,,,,,61,
imgonnagetyouback,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,59,42,,73,,,,,64,17,12,8,19,20,52,57,99,37,32,37,33,68,,,,,,,,,,
The Black Dog,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,60,43,,74,,,,,83,23,11,7,16,7,33,49,,45,30,32,29,67,,,,,,,,,,
Clara Bow,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,,47,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Alchemy,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Smallest Man Who Ever Lived,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who’s Afraid of Little Old Me?,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,,45,85,,,,,,87,75,,,,,,,,,,,,,,,,,,,,,,
