Song Name,Artist Name,Album Name,Image Link,25-01-03,25-01-10,25-01-17,25-01-24,25-01-31,25-02-07,25-02-14,25-02-21,25-02-28,25-03-07,25-03-14,25-03-21,25-03-28,25-04-04,25-04-11,25-04-18,25-04-25,25-05-02,25-05-09,25-05-16,25-05-23,25-05-30,25-06-06,25-06-13,25-06-20,25-06-27,25-07-04,25-07-11,25-07-18,25-07-25,25-08-01,25-08-08,25-08-15,25-08-22,25-08-29,25-09-05,25-09-12,25-09-19,25-09-26,25-10-03,25-10-10,25-10-17,25-10-24,25-10-31,25-11-07,25-11-14,25-11-21,25-11-28,25-12-05,25-12-12,25-12-19
Fresh Out the Slammer,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg,1,4,5,,63,55,23,20,16,24,19,20,30,2,13,10,11,30,56,32,31,29,37,38,75,,,,,,,,,,,,,,,,,,,91,,,,,,,
How You Get the Girl (Taylor's Version),Taylor Swift,1989 (Taylor's Version),https://lastfm.freetls.fastly.net/i/u/300x300/f58d29605321bc6e1ee4da6ae5a0cb4a.jpg,3,1,2,8,13,,30,27,25,36,31,41,50,,,,,,,,,,,,,,,,,,,,59,,,,,,83,,84,,66,,,,,,,60,
She's So Mean,Matchbox Twenty,North (Deluxe Edition),https://lastfm.freetls.fastly.net/i/u/300x300/e83aa4de0c404dafb2fbed94789c903b.jpg,,66,93,39,10,1,5,6,15,16,17,25,29,10,21,14,15,32,55,40,36,51,,,,82,27,27,8,12,21,36,45,61,71,64,,78,,,,,44,49,53,,,,,,
NEXT PAGE,TWICE,TWICEcoaster: LANE 1,https://lastfm.freetls.fastly.net/i/u/300x300/800e521774d1b115262ddf400944dcb4.jpg,,,1,2,8,,32,33,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeper,TWICE,STRATEGY,https://lastfm.freetls.fastly.net/i/u/300x300/b2d5131f8ae46f912bc73e2e96b1dfc1.jpg,,,71,16,4,,14,18,24,34,29,37,58,42,69,,,,,,,,,,,,,2,2,1,2,11,15,15,29,30,44,30,30,41,50,,,,,,,,,,85
Supersonic,fromis_9,Supersonic,https://lastfm.freetls.fastly.net/i/u/300x300/ef61a35f25a51b8af81096cc8a93d2b9.jpg,,,,1,11,,28,30,42,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,65,,
Wherever You Will Go,The Calling,Camino Palmero,https://lastfm.freetls.fastly.net/i/u/300x300/085669cc3c4f4177bfd54a17739ec88c.png,,,,83,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,8,10,12,18
Jet Lag (feat. Natasha Bedingfield),Simple Plan,Get Your Heart On! (Deluxe Edition),https://lastfm.freetls.fastly.net/i/u/300x300/30a16584138b41e8b8753314724c12b0.jpg,,,,,1,6,4,7,14,17,15,26,32,29,14,17,14,33,26,27,27,31,42,,,,,,,,47,51,,87,,17,17,12,11,11,8,9,5,3,5,6,14,20,17,15,31
Mad Season,Matchbox Twenty,Mad Season,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg,,,,,,2,1,2,1,1,1,7,4,7,10,12,12,27,16,24,19,22,27,15,18,19,15,13,25,26,27,27,26,26,36,43,45,38,,,,,,,,,,,,,
Feeling This,blink-182,blink-182,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png,,,,,,,6,1,2,6,6,13,11,18,28,18,13,26,31,29,26,27,32,27,20,28,25,,15,36,28,44,,,,,,,,,,,,,,82,99,91,,,
Down,blink-182,blink-182,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png,,,,,,,,,,83,71,49,25,39,9,7,5,23,21,23,1,1,2,1,3,1,1,1,1,2,3,5,8,11,23,27,37,28,29,31,42,46,48,,47,46,52,65,83,41,21
Sports car,Tate McRae,So Close to What,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png,,,,,,,,,,,12,1,1,1,2,1,2,7,2,2,12,7,6,8,6,11,11,11,11,10,10,17,21,21,20,19,23,19,19,23,26,17,25,23,25,10,15,25,21,24,15
2 hands,Tate McRae,So Close to What,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png,,,,,,,,,,,40,2,2,3,1,2,1,8,7,10,14,11,9,11,5,7,9,8,9,11,9,16,19,20,26,26,42,23,21,19,23,25,20,24,21,27,27,28,27,28,13
Can't Keep My Hands Off You (feat. Rivers Cuomo),Simple Plan,Get Your Heart On! (Deluxe Edition),https://lastfm.freetls.fastly.net/i/u/300x300/30a16584138b41e8b8753314724c12b0.jpg,,,,,,,,,,,,,,,,,,1,1,1,11,9,22,26,,,,,,,93,6,4,4,6,7,21,22,24,34,,92,75,,,,,,,,
Fame Is a Gun,Addison Rae,Addison,https://lastfm.freetls.fastly.net/i/u/300x300/ad9e0bcc76824a8327dd4ed57d20dd5b.jpg,,,,,,,,,,,,,,,,,,,,,,,1,3,8,12,22,,39,58,37,,,,83,58,49,54,62,75,37,,85,,77,70,,,,,
Gabriela,KATSEYE,Gabriela,https://lastfm.freetls.fastly.net/i/u/300x300/0f95953437c8d4d79e09183f1456815e.jpg,,,,,,,,,,,,,,,,,,,,,,,,,1,16,10,,41,,,,,,,,,,,,,,,,,,,,,,
GENIE,소녀시대,Oh!,https://lastfm.freetls.fastly.net/i/u/300x300/422a83bf77b045208c0593b41cb88b6b.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,12,14,23,32,42,,,,,,,,,,,,,,,
Weightless,All Time Low,Nothing Personal (Deluxe Version),https://lastfm.freetls.fastly.net/i/u/300x300/171d1318b43a4609c68186afdd8e6501.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,1,2,2,4,2,3,4,5,4,5,14,21,22,27,37,35,33,44,33,
Stacy's Mom,Bowling for Soup,I've Never Done Anything Like This,https://lastfm.freetls.fastly.net/i/u/300x300/abf1742d09fa4720bc17571555c4a9fb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,1,2,2,4,3,4,7,6,6,8,11,13,13,8,16,27
Stacy's Mom,Fountains of Wayne,Welcome Interstate Managers,https://lastfm.freetls.fastly.net/i/u/300x300/f8ac305316fc4fc9ad672a73ff943635.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,
My Man on Willpower,Sabrina Carpenter,Man’s Best Friend,https://lastfm.freetls.fastly.net/i/u/300x300/6bbc8416c1f1c3a25054d4ae3b5fbb35.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,2,5,10,12,14,16,17,15,20,24,7,7,8
Dilaw,Maki,Dilaw,https://lastfm.freetls.fastly.net/i/u/300x300/7b5d7e4b0e7ca532a195fb02c238c8f4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,15,20,24,24,29,28,39,,67,,,
Father Figure,Taylor Swift,The Life of a Showgirl,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,9,8,10,12,10,17
Blue Valentine,NMIXX,Blue Valentine,https://lastfm.freetls.fastly.net/i/u/300x300/0f02d5e23e1ee4763e13c17f80bd9030.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,33,26,1,1,1,1,1
