Week,Song Name,Album Name,Artist Name,Streams,Sales,Airplay
2021-08-20,Wet Hands,Minecraft - Volume Alpha,C418,1,1,1
2021-08-20,Intro,Minecraft - Volume Beta,C418,1,1,1
2021-08-20,Subwoofer Lullaby,Minecraft - Volume Alpha,C418,1,1,1
2021-08-20,Alpha,Minecraft - Volume Beta,C418,1,1,1
2021-08-20,Minecraft,Minecraft - Volume Alpha,C418,1,1,1
2021-08-20,Axolotl,Axolotl,C418,1,1,1
2021-08-20,Mellohi,Minecraft - Volume Beta,C418,1,1,1
2021-08-20,Sweden,Minecraft - Volume Alpha,C418,1,1,1
2021-08-20,High by the Beach,Honeymoon,Lana Del Rey,1,1,1
2021-08-20,Ultraviolence,Ultraviolence (Deluxe),Lana Del Rey,2,2,1
2021-08-20,West Coast,Ultraviolence (Deluxe),Lana Del Rey,2,2,1
2021-08-20,Bounce Back,Confetti (Expanded Edition),Little Mix,1,1,1
2021-08-20,Ancient Dreams in a Modern Land,Ancient Dreams in a Modern Land,Marina,1,1,1
2021-08-20,Only You,LM5 (Deluxe),Cheat Codes,1,1,1
2021-08-20,The Cure (Stripped),LM5 (Deluxe),Little Mix,1,1,1
2021-08-20,Woman's World,LM5 (Deluxe),Little Mix,1,1,1
2021-08-20,Forget You Not,LM5 (Deluxe),Little Mix,1,1,1
2021-08-20,The Cure,LM5 (Deluxe),Little Mix,1,1,1
2021-08-20,Notice,LM5 (Deluxe),Little Mix,1,1,1
2021-08-20,Motivate,LM5 (Deluxe),Little Mix,1,1,1
2021-08-20,More Than Words (feat. Kamille),LM5 (Deluxe),Little Mix,1,1,1
2021-08-20,Wasabi,LM5 (Deluxe),Little Mix,1,1,1
2021-08-20,Told You So,LM5 (Deluxe),Little Mix,1,1,1
2021-08-20,American Boy,LM5 (Deluxe),Little Mix,1,1,1
2021-08-20,Love a Girl Right,LM5 (Deluxe),Little Mix,1,1,1
2021-08-20,Joan of Arc,LM5 (Deluxe),Little Mix,1,1,1
2021-08-20,Monster in Me,LM5 (Deluxe),Little Mix,1,1,1
2021-08-20,Strip (feat. Sharaya J),LM5 (Deluxe),Little Mix,1,1,1
2021-08-20,Think About Us,LM5 (Deluxe),Little Mix,1,1,1
2021-08-20,Woman Like Me (feat. Nicki Minaj),LM5 (Deluxe),Little Mix,1,1,1
2021-08-20,Freak,Glory Days: The Platinum Edition,Little Mix,1,1,1
2021-08-20,Beep Beep,Glory Days: The Platinum Edition,Little Mix,1,1,1
2021-08-20,No More Sad Songs,Glory Days: The Platinum Edition,Little Mix,1,1,1
2021-08-20,Power,Glory Days: The Platinum Edition,Little Mix,1,1,1
2021-08-20,Touch,Glory Days: The Platinum Edition,Little Mix,1,1,1
2021-08-20,I Forgot That You Existed,Lover,Taylor Swift,2,2,1
2021-08-20,Touch,Glory Days (Expanded Edition),Little Mix,1,1,1
2021-08-20,Dear Lover,Glory Days: The Platinum Edition,Little Mix,1,1,1
2021-08-20,Is Your Love Enough?,Glory Days: The Platinum Edition,Little Mix,1,1,1
2021-08-20,If I Get My Way,Glory Days: The Platinum Edition,Little Mix,1,1,1
2021-08-20,Nothing Else Matters,Glory Days: The Platinum Edition,Little Mix,1,1,1
2021-08-20,Private Show,Glory Days: The Platinum Edition,Little Mix,1,1,1
2021-08-20,Nobody Like You,Glory Days: The Platinum Edition,Little Mix,1,1,1
2021-08-20,Your Love,Glory Days: The Platinum Edition,Little Mix,1,1,1
2021-08-20,Down & Dirty,Glory Days: The Platinum Edition,Little Mix,1,1,1
2021-08-20,You Gotta Not,Glory Days: The Platinum Edition,Little Mix,1,1,1
2021-08-20,Oops (feat. Charlie Puth),Glory Days: The Platinum Edition,Little Mix,1,1,1
2021-08-20,No More Sad Songs (feat. Machine Gun Kelly),Glory Days: The Platinum Edition,Little Mix,1,1,1
2021-08-20,Power (feat. Stormzy),Glory Days: The Platinum Edition,Little Mix,1,1,1
2021-08-20,F.U.,Glory Days: The Platinum Edition,Little Mix,1,1,1
2021-08-20,Reggaetón Lento (Remix),Glory Days: The Platinum Edition,CNCO,1,1,1
2021-08-20,Touch (feat. Kid Ink),Glory Days: The Platinum Edition,Little Mix,1,1,1
2021-08-20,Shout Out to My Ex,Glory Days: The Platinum Edition,Little Mix,1,1,1
2021-08-20,The Beginning,Get Weird (Deluxe),Little Mix,1,1,1
2021-08-20,Clued Up,Get Weird (Deluxe),Little Mix,1,1,1
2021-08-20,Secret Love Song Pt. II,Get Weird (Deluxe),Little Mix,1,1,1
2021-08-20,I Won't,Get Weird (Deluxe),Little Mix,1,1,1
2021-08-20,The End,Get Weird (Deluxe),Little Mix,1,1,1
2021-08-20,Love Me or Leave Me,Get Weird (Deluxe),Little Mix,1,1,1
2021-08-20,A.D.I.D.A.S.,Get Weird (Deluxe),Little Mix,1,1,1
