Week,Song Name,Artist Name,Streams,Sales,Airplay
2021-01-01,HIT,Seventeen,1,1,1
2021-01-01,FINGERTIP,GFRIEND,1,1,1
2021-01-08,champagne problems,Taylor Swift,1,1,1
2021-01-08,it's time to go,Taylor Swift,1,1,1
2021-01-08,right where you left me,Taylor Swift,2,2,1
2021-01-08,Like a Fool,TWICE,1,1,1
2021-01-08,Body Talk,Red Velvet,1,1,1
2021-01-08,Lover,Taylor Swift,1,1,1
2021-01-08,Hear the Sea,Red Velvet,1,1,1
2021-01-08,잘 하고 있어 Grow Up,Stray Kids,1,1,1
2021-01-08,Last Kiss,Taylor Swift,1,1,1
2021-01-08,MIXTAPE#2,Stray Kids,1,1,1
2021-01-08,pov,Ariana Grande,1,1,1
2021-01-08,Alejandro,Lady Gaga,1,1,1
2021-01-08,State of Grace - Acoustic Version,Taylor Swift,1,1,1
2021-01-08,SAY YES,TWICE,1,1,1
2021-01-08,The Best Day,Taylor Swift,1,1,1
2021-01-08,Walkin’ in Time,THE BOYZ,1,1,1
2021-01-08,Head Above Water,Avril Lavigne,1,1,1
2021-01-08,Eyes Locked Hands Locked,Red Velvet,1,1,1
2021-01-08,Ice Cream,TWICE,1,1,1
2021-01-08,21:29,TWICE,1,1,1
2021-01-08,New Year’s Day,Taylor Swift,1,1,1
2021-01-08,Memoria (Korean Ver.),GFRIEND,1,1,1
2021-01-08,Touch - Acoustic,Little Mix,1,1,1
2021-01-08,One Last Time,Ariana Grande,1,1,1
2021-01-08,Candy,Red Velvet,1,1,1
2021-01-08,Teardrops on My Guitar - Radio Single Remix,Taylor Swift,1,1,1
2021-01-08,Forever & Always - Piano Version,Taylor Swift,1,1,1
2021-01-08,Blank Space,Taylor Swift,1,1,1
2021-01-08,CRY FOR ME,TWICE,1,1,1
2021-01-08,ivy,Taylor Swift,1,1,1
2021-01-08,Clarity,Zedd,1,1,1
2021-01-08,Live While We're Young,One Direction,1,1,1
2021-01-08,Shut Up and Dance,Walk the Moon,1,1,1
2021-01-08,달라달라 (DALLA DALLA),ITZY,1,1,1
2021-01-08,Telephone,Lady Gaga,2,1,2
2021-01-08,Lose Yourself - From 8 Mile Soundtrack,Eminem,1,1,1
2021-01-08,Here's to Never Growing Up,Avril Lavigne,1,1,1
2021-01-08,HIT,Seventeen,1,1,1
2021-01-08,FINGERTIP,GFRIEND,1,1,1
2021-01-08,District 9,Stray Kids,1,1,1
2021-01-08,FANCY,TWICE,1,1,1
2021-01-08,Work Bitch,Britney Spears,1,1,1
2021-01-08,Cruel Summer,Taylor Swift,1,1,1
2021-01-08,Eclipse,Loona,1,1,1
2021-01-08,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,1,1,1
2021-01-08,Dangerous Woman,Ariana Grande,1,1,1
2021-01-08,I Want You to Know,Zedd,1,1,1
2021-01-08,Hellevator,Stray Kids,1,1,1
2021-01-08,BOOMBAYAH,BLACKPINK,1,1,1
2021-01-08,Sucker For Pain (with Wiz Khalifa Imagine Dragons Logic & Ty Dolla $ign feat. X Ambassadors),Lil Wayne,1,1,1
2021-01-08,Complicated,Avril Lavigne,1,1,1
2021-01-08,Summertime Sadness,Lana Del Rey,1,1,1
2021-01-08,I Got a Boy,소녀시대,1,1,1
2021-01-08,Be Natural,Red Velvet,1,1,1
2021-01-08,exile (feat. Bon Iver),Taylor Swift,1,1,1
2021-01-08,Shoot Me,DAY6,1,1,1
2021-01-08,Senorita,(G)I-DLE,1,1,1
2021-01-08,Pity Party,Melanie Martinez,1,1,1
2021-01-08,Emperor's New Clothes,Panic! at the Disco,1,1,1
2021-01-08,Never Really Over,Katy Perry,1,1,1
2021-01-08,Dear Future Husband,Meghan Trainor,1,1,1
2021-01-08,Strawberry Shortcake,Melanie Martinez,1,1,1
2021-01-08,BIRTHDAY,Somi,1,1,1
2021-01-08,Say Amen (Saturday Night),Panic! at the Disco,1,1,1
2021-01-08,My Pace,Stray Kids,1,1,1
2021-01-08,WANNABE,ITZY,1,1,1
2021-01-08,Physical,Dua Lipa,1,1,1
2021-01-08,WONDERLAND,ATEEZ,1,1,1
2021-01-08,Automatic,Red Velvet,1,1,1
2021-01-08,TiK ToK,Kesha,2,1,2
