Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak
2020-05-29,1,+41,42,True,False,24,0.41,Valkyrie,ONEUS,LIGHT US,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,6,0,1,2,1
2020-05-29,2,NEW,--,True,False,18,--,Scars to Your Beautiful,Alessia Cara,Know-It-All (Deluxe),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,2,1,1
2020-05-29,3,NEW,--,True,False,18,--,Victorious,Panic! at the Disco,Death of a Bachelor,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,3,1,1
2020-05-29,4,NEW,--,True,False,18,--,Happy,WJSN,Happy Moment,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,4,1,1
2020-05-29,5,+39,44,True,False,18,0.12,Skyscraper,Demi Lovato,Unbroken,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,5,3,5,4,1
2020-05-29,6,NEW,--,True,False,18,--,Love & Live,LOOΠΔ 1/3,Love & Evil,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,6,1,1
2020-05-29,7,NEW,--,True,False,18,--,High Hopes,Panic! at the Disco,Pray for the Wicked,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,7,1,1
2020-05-29,8,NEW,--,True,False,18,--,KeePer (Prod. PARK KYUNG),THE BOYZ,THE BOYZ Special Single 'KeePer(Prod. PARK KYUNG)',2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,8,1,1
2020-05-29,9,NEW,--,True,False,17,--,Cake,Melanie Martinez,Cry Baby (Deluxe Edition),2,1,2,10,3,4,100000,3000,200000,0.33,0.01,0.66,303000,17,0,0,9,1,1
2020-05-29,10,+29,39,True,False,16,-0.06,4 Walls,f(x),4 Walls - The 4th Album,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,6,0,10,2,1
2020-05-29,11,+16,27,True,False,16,-0.11,Up & Down,EXID,AH YEAH,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,6,0,11,2,1
2020-05-29,12,+12,24,True,False,16,-0.11,Kiss and Make Up,Dua Lipa,Dua Lipa (Complete Edition),1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,6,0,12,2,1
2020-05-29,13,=,13,True,True,16,-0.11,WONDERLAND,ATEEZ,TREASURE EP.FIN: All To Action,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,6,0,13,2,2
2020-05-29,14,+5,19,True,False,16,-0.11,HIT,Seventeen,An Ode,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,6,0,14,2,1
2020-05-29,15,+1,16,True,False,16,-0.11,HALA HALA (Hearts Awakened Live Alive),ATEEZ,TREASURE EP.2 : Zero To One,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,6,0,15,2,1
2020-05-29,16,+15,31,True,False,16,-0.11,Hollaback Girl,Gwen Stefani,Love Angel Music Baby,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,6,0,16,2,1
2020-05-29,17,+13,30,True,False,16,-0.11,Pirate King,ATEEZ,TREASURE EP.1: All to Zero,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,6,0,17,2,1
2020-05-29,18,+3,21,True,False,16,-0.11,Twilight,ONEUS,Raise Us - EP,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,6,0,18,2,1
2020-05-29,19,RE,--,False,False,14,--,Call It What You Want,Taylor Swift,Reputation,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,4,1,3,1
2020-05-29,20,+47,67,True,False,13,0.3,Pity Party,Melanie Martinez,Cry Baby (Deluxe Edition),1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,3,0,20,2,1
2020-05-29,21,+52,73,True,False,13,0.3,Eclipse,Loona,Kim Lip,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,3,0,21,2,1
2020-05-29,22,+53,75,True,False,13,0.3,Wave,ATEEZ,TREASURE EP.3 : One To All,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,3,0,22,2,1
2020-05-29,23,+39,62,True,False,13,0.3,Chase Me,Dreamcatcher,악몽 - EP,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,3,0,23,2,1
2020-05-29,24,RE,--,True,False,13,--,New Romantics,Taylor Swift,1989 (Deluxe),1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,3,24,3,1
2020-05-29,25,RE,--,False,False,13,--,Physical,Dua Lipa,Future Nostalgia,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,3,18,3,1
2020-05-29,26,RE,--,True,False,12,--,Hallucinate,Dua Lipa,Future Nostalgia,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,2,26,2,1
2020-05-29,27,RE,--,True,False,12,--,I Got a Boy,소녀시대,I GOT A BOY,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,2,27,2,1
2020-05-29,28,RE,--,True,False,12,--,Hi High,Loona,[+ +],1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,2,28,2,1
2020-05-29,29,NEW,--,True,False,10,--,Grrr 총량의 법칙,Stray Kids,Mixtape,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,0,29,1,1
2020-05-29,30,NEW,--,True,False,10,--,Bad Blood,Taylor Swift,Bad Blood,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,0,30,1,1
2020-05-29,31,NEW,--,True,False,10,--,Scream,Dreamcatcher,1st Album [Dystopia : The Tree of Language],1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,0,31,1,1
2020-05-29,32,NEW,--,True,False,10,--,Here's to Never Growing Up,Avril Lavigne,Avril Lavigne (Expanded Edition),1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,0,32,1,1
2020-05-29,33,NEW,--,True,False,10,--,Automatic,Red Velvet,Ice Cream Cake,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,0,33,1,1
2020-05-29,34,NEW,--,True,False,10,--,Oops!...I Did It Again,Britney Spears,Oops!... I Did It Again,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,0,34,1,1
2020-05-29,35,NEW,--,True,False,10,--,So What,Loona,[#],1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,0,35,1,1
2020-05-29,36,NEW,--,True,False,10,--,HIP,MAMAMOO,reality in BLACK,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,0,36,1,1
2020-05-29,37,NEW,--,True,False,10,--,Babe (feat. Taylor Swift),Sugarland,Babe (feat. Taylor Swift),1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,0,37,1,1
2020-05-29,38,NEW,--,True,False,10,--,Look What You Made Me Do,Taylor Swift,reputation (Big Machine Radio Release Special),1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,0,38,1,1
2020-05-29,39,NEW,--,True,False,10,--,Tell Me Something I Don't Know,Selena Gomez & the Scene,Kiss & Tell,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,0,39,1,1
