Week,Position,Rise/Fall,Previous Rank,Total Weighted Points,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC
2021-10-15,1,RE,,29,Wildest Dreams (Taylor's Version),Taylor Swift,Wildest Dreams (Taylor's Version),2,2,1,10,6,2,18,0,11,1,4
2021-10-15,2,+9,11,27,Begin Again,Taylor Swift,Red (Deluxe Edition),2,2,1,10,6,2,18,5,4,2,5
2021-10-15,3,NEW,,26,Easy on Me,Adele,Easy on Me,3,3,1,15,9,2,26,0,0,3,1
2021-10-15,4,RE,,22,Delicate,Taylor Swift,Reputation,2,2,1,10,6,2,18,0,4,4,4
2021-10-15,5,RE,,22,Dress,Taylor Swift,Reputation,2,2,1,10,6,2,18,0,4,5,8
2021-10-15,6,RE,,20,This Is Why We Can't Have Nice Things,Taylor Swift,Reputation,2,2,1,10,6,2,18,0,2,6,2
2021-10-15,7,+3,10,19,Look What You Made Me Do,Taylor Swift,Reputation,1,1,1,5,3,2,10,5,4,7,5
2021-10-15,8,NEW,,18,Hung Up,Madonna,Confessions on a Dance Floor,2,2,1,10,6,2,18,0,0,8,1
2021-10-15,9,NEW,,18,Love Again,Dua Lipa,Future Nostalgia,2,2,1,10,6,2,18,0,0,9,1
2021-10-15,10,NEW,,18,Move,Little Mix,Salute (The Deluxe Edition),2,2,1,10,6,2,18,0,0,10,1
2021-10-15,11,NEW,,18,Rolling in the Deep,Adele,21,2,2,1,10,6,2,18,0,0,11,1
2021-10-15,12,RE,,18,Sk8er Boi,Avril Lavigne,Let Go,2,2,1,10,6,2,18,0,0,12,4
2021-10-15,13,RE,,18,Young and Beautiful,Lana Del Rey,Young and Beautiful,2,2,1,10,6,2,18,0,0,13,2
2021-10-15,14,RE,,18,Popular Song,Mika,Yours Truly,2,2,1,10,6,2,18,0,0,14,1
2021-10-15,15,RE,,18,Give Me Everything,Pitbull,Planet Pit (Deluxe Version),2,2,1,10,6,2,18,0,0,15,5
2021-10-15,16,RE,,18,If U Seek Amy,Britney Spears,Circus (Deluxe Version),2,2,1,10,6,2,18,0,0,16,2
2021-10-15,17,RE,,18,Two Is Better Than One (feat. Taylor Swift),Boys Like Girls,Love Drunk,2,2,1,10,6,2,18,0,0,17,2
2021-10-15,18,RE,,18,Babe (feat. Taylor Swift),Sugarland,Babe (feat. Taylor Swift),2,2,1,10,6,2,18,0,0,18,1
2021-10-15,19,RE,,18,peace,Taylor Swift,folklore (deluxe version),2,2,1,10,6,2,18,0,0,19,5
2021-10-15,20,RE,,18,All About That Bass,Meghan Trainor,Title (Deluxe),2,2,1,10,6,2,18,0,0,20,3
2021-10-15,21,RE,,18,Confident,Demi Lovato,Confident,2,2,1,10,6,2,18,0,0,21,5
2021-10-15,22,-16,6,16,River Lea,Adele,25,1,1,1,5,3,2,10,6,0,6,2
2021-10-15,23,RE,,14,Kill Em with Kindness,Selena Gomez,Revival (Deluxe),1,1,1,5,3,2,10,0,4,17,5
2021-10-15,24,-8,16,14,Style,Taylor Swift,1989 (Deluxe),1,1,1,5,3,2,10,4,0,7,11
2021-10-15,25,RE,,14,King of My Heart,Taylor Swift,Reputation,1,1,1,5,3,2,10,0,4,19,2
