Week,Position,Rise/Fall,Previous Rank,New Peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC
2025-02-21,1,NEW,--,True,645,--,Feeling This,blink-182,blink-182,81,78,3,405,234,6,4050000,234000,300000,0.88,0.05,0.07,4584000,645,0,0,1,1
2025-02-21,2,-1,1,False,577,1.63,Mad Season,Matchbox Twenty,Mad Season,52,52,1,260,156,2,2600000,156000,100000,0.91,0.05,0.04,2856000,418,159,0,1,2
2025-02-21,3,NEW,--,True,489,--,Always,blink-182,blink-182,61,60,2,305,180,4,3050000,180000,200000,0.89,0.05,0.06,3430000,489,0,0,3,1
2025-02-21,4,-1,3,False,465,1.4,If You're Gone,Matchbox Twenty,Mad Season,40,40,1,200,120,2,2000000,120000,100000,0.9,0.05,0.05,2220000,322,134,9,3,3
2025-02-21,5,-1,4,False,455,1.38,Bent,Matchbox Twenty,Mad Season,39,39,1,195,117,2,1950000,117000,100000,0.9,0.05,0.05,2167000,314,132,9,4,3
2025-02-21,6,-4,2,False,385,0.25,She's So Mean,Matchbox Twenty,North (Deluxe Edition),23,23,1,115,69,2,1150000,69000,100000,0.87,0.05,0.08,1319000,186,149,50,2,8
2025-02-21,7,-2,5,False,358,0.47,Jet Lag (feat. Natasha Bedingfield),Simple Plan,Get Your Heart On! (Deluxe Edition),21,21,1,105,63,2,1050000,63000,100000,0.87,0.05,0.08,1213000,170,116,72,1,4
2025-02-21,8,-1,7,False,321,0.36,Motivation,Sum 41,All Killer No Filler,18,18,1,90,54,2,900000,54000,100000,0.85,0.05,0.09,1054000,146,107,68,2,7
2025-02-21,9,-1,8,False,314,0.42,Fat Lip,Sum 41,All Killer No Filler,18,18,1,90,54,2,900000,54000,100000,0.85,0.05,0.09,1054000,146,103,65,3,6
2025-02-21,10,-4,6,False,270,0.2,3AM,Matchbox Twenty,Yourself or Someone Like You,16,16,1,80,48,2,800000,48000,100000,0.84,0.05,0.11,948000,130,108,32,6,7
2025-02-21,11,+26,37,True,239,11.88,Taste,Sabrina Carpenter,Short n' Sweet,26,22,5,130,66,10,1300000,66000,500000,0.7,0.04,0.27,1866000,206,16,17,11,4
2025-02-21,12,+22,34,False,231,10.41,Juno,Sabrina Carpenter,Short n' Sweet,24,24,1,120,72,2,1200000,72000,100000,0.87,0.05,0.07,1372000,194,17,20,9,6
2025-02-21,13,+4,17,False,224,1.34,Redundant,Green Day,Nimrod,17,17,1,85,51,2,850000,51000,100000,0.85,0.05,0.1,1001000,138,59,27,13,8
2025-02-21,14,RE,--,False,223,--,Keeper,TWICE,Strategy,23,20,3,115,60,6,1150000,60000,300000,0.76,0.04,0.2,1510000,181,0,42,1,4
2025-02-21,15,-3,12,False,216,0.56,Unwell,Matchbox Twenty,More Than You Think You Are,15,15,1,75,45,2,750000,45000,100000,0.84,0.05,0.11,895000,122,78,16,12,7
2025-02-21,16,-2,14,False,212,1.21,Bright Lights,Matchbox Twenty,More Than You Think You Are,18,18,1,90,54,2,900000,54000,100000,0.85,0.05,0.09,1054000,146,66,0,14,2
2025-02-21,17,RE,--,True,210,--,The Static Age,Green Day,21st Century Breakdown,26,26,1,130,78,2,1300000,78000,100000,0.88,0.05,0.07,1478000,210,0,0,17,1
2025-02-21,18,-7,11,False,210,0.42,Stay Together for the Kids,blink-182,Take Off Your Pants and Jacket,14,14,1,70,42,2,700000,42000,100000,0.83,0.05,0.12,842000,114,80,16,11,8
2025-02-21,19,-3,16,False,202,1.08,Before the Lobotomy,Green Day,21st Century Breakdown,16,13,4,80,39,8,800000,39000,400000,0.65,0.03,0.32,1239000,127,61,14,16,7
2025-02-21,20,-5,15,False,193,1.06,Disease,Matchbox Twenty,More Than You Think You Are,16,16,1,80,48,2,800000,48000,100000,0.84,0.05,0.11,948000,130,63,0,15,2
2025-02-21,21,-2,19,False,191,4.11,That's My Floor,Magdalena Bay,Imaginal Disk,17,17,1,85,51,2,850000,51000,100000,0.85,0.05,0.1,1001000,138,27,26,11,8
2025-02-21,22,-2,20,False,182,4.0,Tunnel Vision,Magdalena Bay,Imaginal Disk,16,16,1,80,48,2,800000,48000,100000,0.84,0.05,0.11,948000,130,26,26,13,8
2025-02-21,23,RE,--,False,172,--,Like It Like It,TWICE,Strategy,16,16,1,80,48,2,800000,48000,100000,0.84,0.05,0.11,948000,130,0,42,3,4
2025-02-21,24,-3,21,False,170,5.19,How You Get the Girl (Taylor's Version),Taylor Swift,1989 (Taylor's Version),16,16,1,80,48,2,800000,48000,100000,0.84,0.05,0.11,948000,130,21,19,2,8
2025-02-21,25,RE,--,False,168,--,Supersonic,fromis_9,Supersonic,17,17,1,85,51,2,850000,51000,100000,0.85,0.05,0.1,1001000,138,0,30,2,4
2025-02-21,26,-2,24,False,167,5.84,All You Had to Do Was Stay (Taylor's Version),Taylor Swift,1989 (Taylor's Version),16,16,1,80,48,2,800000,48000,100000,0.84,0.05,0.11,948000,130,19,18,5,8
2025-02-21,27,-17,10,False,159,-0.75,Push,Matchbox Twenty,Yourself or Someone Like You,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,102,31,10,4
2025-02-21,28,-19,9,False,155,-0.75,Real World,Matchbox Twenty,Yourself or Someone Like You,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,102,27,9,5
2025-02-21,29,-11,18,False,155,2.7,Fresh Out the Slammer,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,15,15,1,75,45,2,750000,45000,100000,0.84,0.05,0.11,895000,122,33,0,4,7
2025-02-21,30,RE,--,False,154,--,Nice Guys Finish Last,Green Day,Nimrod,17,17,1,85,51,2,850000,51000,100000,0.85,0.05,0.1,1001000,138,0,16,13,6
2025-02-21,31,NEW,--,True,152,--,She's out of Her Mind,blink-182,California (Deluxe Edition),19,17,3,95,51,6,950000,51000,300000,0.73,0.04,0.23,1301000,152,0,0,31,1
2025-02-21,32,RE,--,False,146,--,Give Me One Good Reason,blink-182,Take Off Your Pants and Jacket,12,12,1,60,36,2,600000,36000,100000,0.82,0.05,0.14,736000,98,0,48,5,5
2025-02-21,33,+27,60,True,125,6.85,Don’t Smile,Sabrina Carpenter,Short n' Sweet,13,9,5,65,27,10,650000,27000,500000,0.55,0.02,0.42,1177000,102,13,10,33,3
2025-02-21,34,RE,--,True,122,--,East Jesus Nowhere,Green Day,21st Century Breakdown,15,15,1,75,45,2,750000,45000,100000,0.84,0.05,0.11,895000,122,0,0,34,2
2025-02-21,35,RE,--,False,122,--,NEXT PAGE,TWICE,TWICEcoaster: LANE 1,15,15,1,75,45,2,750000,45000,100000,0.84,0.05,0.11,895000,122,0,0,1,3
2025-02-21,36,RE,--,False,114,--,ไหล่เธอ (You’ve Got Ma Back) (เพลงประกอบซีรีส์ แฟนผมเป็นประธานนักเรียน My School President),Fourth,ไหล่เธอ (You’ve Got Ma Back) - Single,14,14,1,70,42,2,700000,42000,100000,0.83,0.05,0.12,842000,114,0,0,1,6
2025-02-21,37,RE,--,False,114,--,ง้อว (Smile Please) (เพลงประกอบซีรีส์ แฟนผมเป็นประธานนักเรียน My School President),Fourth,ง้อว (Smile Please) - Single,14,14,1,70,42,2,700000,42000,100000,0.83,0.05,0.12,842000,114,0,0,8,6
2025-02-21,38,-25,13,False,106,-0.63,How Far We've Come,Matchbox Twenty,How Far We've Come,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,70,10,13,3
2025-02-21,39,RE,--,False,98,--,PIT-A-PAT,TWICE,TWICEcoaster: LANE 1,12,12,1,60,36,2,600000,36000,100000,0.82,0.05,0.14,736000,98,0,0,3,3
