Song,Artist,First_Week
ไหล่เธอ (You’ve Got Ma Back) (เพลงประกอบซีรีส์ แฟนผมเป็นประธานนักเรียน My School President),Fourth,2025-01-03
Read your Mind,Sabrina Carpenter,2025-01-03
How You Get the Girl (Taylor's Version),Taylor Swift,2025-01-03
Begin Again (Taylor's Version),Taylor Swift,2025-01-03
After LIKE,IVE,2025-01-03
All You Had to Do Was Stay (Taylor's Version),Taylor Swift,2025-01-03
Fast Times,Sabrina Carpenter,2025-01-03
Fresh Out the Slammer,Taylor Swift,2025-01-03
Juno,Sabrina Carpenter,2025-01-03
ง้อว (Smile Please) (เพลงประกอบซีรีส์ แฟนผมเป็นประธานนักเรียน My School President),Fourth,2025-01-03
That's My Floor,Magdalena Bay,2025-01-03
เพลงรัก (Hook) (เพลงประกอบซีรีส์ แฟนผมเป็นประธานนักเรียน My School President),Gemini,2025-01-03
รักหน้าตาเหมือนเธอไหม (Love Love Love) (เพลงประกอบซีรีส์ Our Skyy แฟนผมเป็นประธานนักเรียน),Gemini,2025-01-03
Summer Paradise,Simple Plan,2025-01-03
After Midnight,Chappell Roan,2025-01-03
Say Don't Go (Taylor's Version) (From the Vault),Taylor Swift,2025-01-03
Slut! (Taylor's Version) (From the Vault),Taylor Swift,2025-01-03
Wonderland (Taylor's Version),Taylor Swift,2025-01-03
ก้อนหินกับดวงดาว (Rock & Star) (เพลงประกอบซีรีส์ แฟนผมเป็นประธานนักเรียน My School President),Fourth,2025-01-03
All the Time,Green Day,2025-01-03
Redundant,Green Day,2025-01-03
Feather,Sabrina Carpenter,2025-01-03
เพื่อนเล่น ไม่เล่นเพื่อน (Cover Version) (เพลงประกอบซีรีส์ แฟนผมเป็นประธานนักเรียน My School President),Fourth,2025-01-03
Death & Romance,Magdalena Bay,2025-01-03
Image,Magdalena Bay,2025-01-03
Tunnel Vision,Magdalena Bay,2025-01-03
She's So Mean,Matchbox Twenty,2025-01-03
Minority,Green Day,2025-01-03
Popular Song,Mika,2025-01-03
Scattered,Green Day,2025-01-03
Girl at Home (Taylor's Version),Taylor Swift,2025-01-03
Roller Coaster,blink-182,2025-01-03
New Romantics (Taylor's Version),Taylor Swift,2025-01-03
อยากร้องดังดัง (Cover Version) (เพลงประกอบซีรีส์ แฟนผมเป็นประธานนักเรียน My School President),Fourth,2025-01-03
Dirty Little Secret,The All-American Rejects,2025-01-03
Unwell,Matchbox Twenty,2025-01-03
The American Dream Is Killing Me,Green Day,2025-01-03
Fashion Victim,Green Day,2025-01-03
Every Time I Look For You,blink-182,2025-01-03
Blood Sex and Booze,Green Day,2025-01-03
Stay Together for the Kids,blink-182,2025-01-03
The Rock Show,blink-182,2025-01-03
Shut Up,blink-182,2025-01-03
Anthem Part Two,blink-182,2025-01-03
Happy Holidays You Bastard,blink-182,2025-01-03
Online Songs,blink-182,2025-01-03
Reckless Abandon,blink-182,2025-01-03
First Date,blink-182,2025-01-03
Taste,Sabrina Carpenter,2025-01-03
i wish i hated you,Ariana Grande,2025-01-03
You Are in Love (Taylor's Version),Taylor Swift,2025-01-03
Saviors,Green Day,2025-01-03
Jesus of Suburbia,Green Day,2025-01-03
Motivation,Sum 41,2025-01-03
Know Your Enemy,Green Day,2025-01-03
This Is How I Disappear,My Chemical Romance,2025-01-03
Oh Love,Green Day,2025-01-03
Graffitia,Green Day,2025-01-03
Girlfriend,Avril Lavigne,2025-01-03
House of Wolves,My Chemical Romance,2025-01-03
Losing Grip,Avril Lavigne,2025-01-03
Song of the Century,Green Day,2025-01-03
Last of the American Girls,Green Day,2025-01-03
You Found Me,Kelly Clarkson,2025-01-03
Hold On,Green Day,2025-01-03
Last Night on Earth,Green Day,2025-01-03
She's a Rebel,Green Day,2025-01-03
Save Yourself I'll Hold Them Back,My Chemical Romance,2025-01-03
Mutt,blink-182,2025-01-03
Worry Rock,Green Day,2025-01-03
Thank You for the Venom,My Chemical Romance,2025-01-03
Wish You Were Here,Avril Lavigne,2025-01-03
Sugar We're Goin Down,Fall Out Boy,2025-01-03
On a Plain,Nirvana,2025-01-03
Where Is Your Heart,Kelly Clarkson,2025-01-03
Rock n Roll,Avril Lavigne,2025-01-03
The End.,My Chemical Romance,2025-01-03
Platypus (I Hate You),Green Day,2025-01-03
Famous Last Words,My Chemical Romance,2025-01-03
Boulevard of Broken Dreams,Green Day,2025-01-03
Castaway,Green Day,2025-01-03
Fancy Sauce,Green Day,2025-01-03
Deadbeat Holiday,Green Day,2025-01-03
Strange Days Are Here to Stay,Green Day,2025-01-03
Suzie Chapstick,Green Day,2025-01-03
Real World,Matchbox Twenty,2025-01-03
1981,Green Day,2025-01-03
Dilemma,Green Day,2025-01-03
Church on Sunday,Green Day,2025-01-03
Living in the '20s,Green Day,2025-01-03
3AM,Matchbox Twenty,2025-01-03
Father to a Son,Green Day,2025-01-03
Look Ma No Brains!,Green Day,2025-01-03
ordinary things (feat. Nonna),Ariana Grande,2025-01-03
imperfect for you,Ariana Grande,2025-01-03
we can't be friends (wait for your love),Ariana Grande,2025-01-03
yes and?,Ariana Grande,2025-01-03
the boy is mine,Ariana Grande,2025-01-03
true story,Ariana Grande,2025-01-03
supernatural,Ariana Grande,2025-01-03
don't wanna break up again,Ariana Grande,2025-01-10
The Alchemy,Taylor Swift,2025-01-10
Nice Guys Finish Last,Green Day,2025-01-10
Breathless,The Corrs,2025-01-10
Breakaway,Kelly Clarkson,2025-01-10
Lips of an Angel,Hinder,2025-01-10
Dead!,My Chemical Romance,2025-01-10
Guilty as Sin?,Taylor Swift,2025-01-10
Dance Dance,Fall Out Boy,2025-01-10
What's My Age Again?,blink-182,2025-01-10
Easy,Stray Kids,2025-01-10
Shake It Off (Taylor's Version),Taylor Swift,2025-01-10
Difficult,Gracie Abrams,2025-01-10
Full machine,Gracie Abrams,2025-01-10
Best,Gracie Abrams,2025-01-10
I know it won't work,Gracie Abrams,2025-01-10
A Little Less Sixteen Candles a Little More Touch Me,Fall Out Boy,2025-01-10
Recess,Melanie Martinez,2025-01-10
Teacher's Pet,Melanie Martinez,2025-01-10
Wheels on the Bus,Melanie Martinez,2025-01-10
Tag You're It,Melanie Martinez,2025-01-10
Soap,Melanie Martinez,2025-01-10
pretty isn’t pretty,Olivia Rodrigo,2025-01-10
love is embarrassing,Olivia Rodrigo,2025-01-10
get him back!,Olivia Rodrigo,2025-01-10
Way Back Into Love,Hugh Grant,2025-01-17
Fat Lip,Sum 41,2025-01-17
Pose,Red Velvet,2025-01-17
Naturally,Selena Gomez & the Scene,2025-01-17
Lucky,Britney Spears,2025-01-17
Shape of My Heart,Backstreet Boys,2025-01-17
Sway,Bic Runga,2025-01-17
