Song,Artist,First_Week
Call It What You Want,Taylor Swift,2020-05-08
Both Of Us (Feat.Taylor Swift),Taylor Swift & B.O.B,2020-05-08
Right Here,더보이즈(THE BOYZ),2020-05-08
Mr.Ambiguous,MAMAMOO,2020-05-08
Stupid Hoe,Nicki Minaj,2020-05-08
One Last Time,Ariana Grande,2020-05-08
Popular Song,Ariana Grande,2020-05-08
Never Really Over,Katy Perry,2020-05-08
Thinking of You,Katy Perry,2020-05-08
DUN DUN,Everglow,2020-05-08
FIESTA,IZ*ONE,2020-05-08
I am YOU,Stray Kids (스트레이 키즈),2020-05-08
Macavity,Taylor Swift,2020-05-08
boN ApPeTit,Katy Perry,2020-05-08
So It Goes...,Taylor Swift,2020-05-08
...Baby One More Time,Britney Spears,2020-05-08
Skyscraper,Demi Lovato,2020-05-08
Physical,Dua Lipa,2020-05-08
Look,Red Velvet,2020-05-08
Getaway Car,Taylor Swift,2020-05-08
IDGAF,Dua Lipa,2020-05-08
Bad Boy,Red Velvet (레드벨벳),2020-05-08
I Write Sins Not Tragedies,Panic! at the Disco,2020-05-08
This Is How We Do,Katy Perry,2020-05-08
Love Me Harder (Ariana Grande & The Weeknd),Ariana Grande,2020-05-08
Be Natural (feat. 태용 TAEYONG),Red Velvet (레드벨벳),2020-05-08
Complicated,Avril Lavigne,2020-05-08
LATATA,(G)I-DLE,2020-05-08
When You Love Someone,DAY6,2020-05-08
Rise,Katy Perry,2020-05-08
Um Oh Ah Yeh,MAMAMOO,2020-05-08
Class Fight,Melanie Martinez,2020-05-08
Summertime Sadness,Lana Del Rey,2020-05-08
Double Knot,Stray Kids,2020-05-08
I Wait,DAY6,2020-05-08
Blow Your Mind (Mwah),Dua Lipa,2020-05-08
불꽃놀이 (Remember Me),OH MY GIRL,2020-05-08
Girls Girls Girls,GOT7 - PlanetLagu.com,2020-05-08
Manse,Seventeen,2020-05-08
La La Land,Demi Lovato,2020-05-08
Teacher's Pet,Melanie Martinez,2020-05-08
That's My Girl,Fifth Harmony,2020-05-08
Circus,Britney Spears,2020-05-08
NONSTOP,OH MY GIRL,2020-05-08
If U Seek Amy,Britney Spears,2020-05-08
Story of My Life,1世代,2020-05-08
FINGERTIP,GFRIEND,2020-05-08
M.I.L.F. $,Fergie,2020-05-08
Lights (Single Version),Ellie Goulding,2020-05-08
Almost Is Never Enough,Ariana Grande & Nathan Sykes,2020-05-08
Kill This Love,BLACKPINK,2020-05-08
What is Love?,TWICE (트와이스),2020-05-08
Dance With the Devil,Katy Perry,2020-05-08
날아올라 (Fly High),Dreamcatcher,2020-05-08
바람 (Levanter),Stray Kids (스트레이 키즈),2020-05-08
Bad Blood (feat. Kendrick Lamar),Taylor Swift,2020-05-08
Love Somebody,Maroon 5,2020-05-08
Wide Awake,Katy Perry,2020-05-08
Word Up!,Little Mix,2020-05-08
어린 날개 (Young Wings),Stray Kids (스트레이 키즈),2020-05-08
오늘부터 우리는 (Me Gustas Tu),여자친구 (GFriend),2020-05-08
Cool for the Summer,Demi Lovato,2020-05-08
해야 (Sunrise),여자친구 (GFriend),2020-05-08
고맙다 (THANKS),Seventeen,2020-05-08
Starry Night,MAMAMOO,2020-05-08
BBIBBI,IU,2020-05-08
니가 하면 If You Do,GOT7 - PlanetLagu.com,2020-05-08
Your Gravity,UP10TION,2020-05-08
Tag You're It,Melanie Martinez,2020-05-08
러시안 룰렛 (Russian Roulette),Red Velvet (레드벨벳),2020-05-08
LIKEY,TWICE (트와이스),2020-05-08
Boyfriend,Selena Gomez,2020-05-08
What the Hell,Avril Lavigne,2020-05-08
다섯 번째 계절 (SSFWL),오마이걸 (OH MY GIRL),2020-05-08
Oops!… I Did It Again,Britney Spears,2020-05-08
Psycho,Red Velvet,2020-05-08
Rare,Selena Gomez,2020-05-08
Hi Hello,DAY6,2020-05-08
In The Middle,dodie,2020-05-08
New Romantics,Taylor Swift,2020-05-08
세가지 소원 Wish Tree - WINTER GARDEN,Red Velvet (레드벨벳),2020-05-08
Lullaby,GOT7 (갓세븐),2020-05-08
Stitches,Shawn Mendes,2020-05-08
When You're Gone,Avril Lavigne,2020-05-08
One More Time,TWICE (트와이스),2020-05-08
Still Into You,Paramore,2020-05-08
SUNSET,TWICE (트와이스),2020-05-08
갑자기 분위기 싸해질 필요 없잖아요 (Awkward Silence),Stray Kids (스트레이 키즈),2020-05-08
RAINBOW,TWICE,2020-05-08
Only You,Little Mix Cheat Codes,2020-05-08
Detention,Melanie Martinez,2020-05-08
One Call Away,Charlie Puth,2020-05-08
I Kissed a Girl,Katy Perry,2020-05-08
HANN (Alone) [한 (一)],(G)I-DLE,2020-05-08
Fancy (feat. Charli XCX),Iggy Azalea,2020-05-08
Wheels on the Bus,Melanie Martinez,2020-05-08
Dumb Dumb,Red Velvet (레드벨벳),2020-05-08
벌써 12시 (GOTTA GO),Kim Chungha,2020-05-08
Breathe (feat. Colbie Caillat),Taylor Swift,2020-05-08
Something Big,Shawn Mendes,2020-05-08
거침없이 (Just do it),BSS (SEVENTEEN),2020-05-15
WANNABE,ITZY,2020-05-15
FANCY,TWICE,2020-05-15
Shower,Becky G,2020-05-15
A Song Written Easily,ONEUS,2020-05-15
A.D.I.D.A.S.,Little Mix,2020-05-15
Break My Heart,Dua Lipa,2020-05-15
Daisies,Katy Perry,2020-05-15
A Year Without Rain,Selena Gomez & the Scene,2020-05-15
Heart Attack,Demi Lovato,2020-05-15
舞い落ちる花びら（Fallin' Flower）,Seventeen,2020-05-15
Zombie,DAY6,2020-05-15
힐링 (Healing),Seventeen,2020-05-15
YES OR YES,TWICE (트와이스),2020-05-15
YOUNG & WILD,TWICE (트와이스),2020-05-15
LALALA,TWICE (트와이스),2020-05-15
SAY YOU LOVE ME,TWICE (트와이스),2020-05-15
Holy Ground,Taylor Swift,2020-05-15
Stay,Zedd,2020-05-15
Happy Little Pill,Troye Sivan,2020-05-15
Hair (feat. Sean Paul),Little Mix,2020-05-15
Touch My Body,SISTAR,2020-05-15
Umpah Umpah,Red Velvet,2020-05-15
Black Magic,Little Mix,2020-05-15
Strawberry Shortcake,Melanie Martinez,2020-05-15
REVEAL,THE BOYZ,2020-05-22
Don't Start Now,Dua Lipa,2020-05-22
Answer,ATEEZ,2020-05-22
WONDERLAND,ATEEZ,2020-05-22
시간이 안 지나가 (Walkin` In Time),THE BOYZ,2020-05-22
지킬게 (KeePer) (Prod. Park Kyung),THE BOYZ,2020-05-22
HALA HALA (Hearts Awakened Live Alive),ATEEZ,2020-05-22
In & Out,Red Velvet,2020-05-22
Gashina,SUNMI,2020-05-22
HIT,Seventeen,2020-05-22
break up with your girlfriend i'm bored,Ariana Grande,2020-05-22
Twilight,ONEUS,2020-05-22
Hurts Like Hell (feat. Offset),Madison Beer,2020-05-22
This Is Why We Can't Have Nice Things,Taylor Swift,2020-05-22
Kiss and Make Up,Dua Lipa,2020-05-22
Red Dress,Red Velvet,2020-05-22
