Week,Song Name,Album Name,Artist Name,Streams,Sales,Airplay
2021-01-22,Love Story Ko,Ako Si,Gloc-9,1,1,1
2021-01-22,Tindahan Ni Aling Nena,Ultraelectromagneticpop!,Eraserheads,1,1,1
2021-01-22,Magda,Liham At Lihim,Gloc-9,1,1,1
2021-01-22,Walang Natira (Feat. Sheng Belmonte),Talumpati,Gloc-9,1,1,1
2021-01-22,sirena,MKNM (Mga Kwento Ng Makata),Gloc-9,2,2,1
2021-01-22,Bohemian Rhapsody,Bohemian Rhapsody (The Original Soundtrack),Queen,1,1,1
2021-01-22,Pasensya Ka Na,Langit. Luha.,Silent Sanctuary,1,1,1
2021-01-22,Himala,Greatest Hits,Rivermaya,1,1,1
2021-01-22,Narda,Maharot,Kamikazee,1,1,1
2021-01-22,Luha,Halik,Aegis,1,1,1
2021-01-22,Blinding Lights,After Hours,The Weeknd,1,1,1
2021-01-22,The Monster,The Marshall Mathers LP2,Eminem,1,1,1
2021-01-22,Rap God,The Marshall Mathers LP2 (Deluxe),Eminem,1,1,1
2021-01-22,In the End,Hybrid Theory (Bonus Edition),Linkin Park,1,1,1
2021-01-22,Sa'yo,Monodramatic,Silent Sanctuary,1,1,1
2021-01-22,Elesi,Greatest Hits,Rivermaya,1,1,1
2021-01-22,Hari ng tondo,Biyahe Ng Pangarap,Gloc-9,1,1,1
2021-01-22,Lando (feat. Chito Miranda),Diploma,Gloc-9,1,1,1
2021-01-22,Ikaw Lamang,Fuchsiang Pag-Ibig,Silent Sanctuary,1,1,1
2021-01-22,Kaleidoscope World,Inuman Sessions Vol. 1,Parokya Ni Edgar,1,1,1
2021-01-22,Ang Huling El Bimbo,Cutterpillow,Eraserheads,1,1,1
2021-01-22,Harana,Buruguduystunstugudunstuy,Parokya Ni Edgar,1,1,1
2021-01-22,Buko,Juan Dela Cruz Vol. 2 (Original Motion Picture Soundtrack),Jireh Lim,1,1,1
2021-01-22,Triangulo,Indak (Official Movie Soundtrack),Nadine Lustre,1,1,1
2021-01-22,Ligaya,Anthology,Eraserheads,1,1,1
2021-01-22,Upuan (feat. Jeazell Grutas),Matrikula,Gloc-9,1,1,1
2021-01-22,Magkabilang Mundo,Love And Soul,Jireh Lim,1,1,1
2021-01-22,Locked Out of Heaven,Unorthodox Jukebox,Bruno Mars,1,1,1
2021-01-22,Still Into You,Paramore,Paramore,1,1,1
2021-01-22,DATI,Philpop 2013,Sam Concepcion,1,1,1
2021-01-22,Torete,popcorn,Moonstar88,1,1,1
2021-01-22,Magasin,Circus,Eraserheads,1,1,1
2021-01-22,Thunder,Boys Like Girls,Boys Like Girls,1,1,1
2021-01-22,Kilometro,Perfectly Imperfect,Sarah Geronimo,1,1,1
2021-01-22,Bagsakan,Halina Sa Parokya,Parokya Ni Edgar,1,1,1
2021-01-22,Pangarap Lang Kita,Middle-Aged Juvenile Novelty Pop Rockers,Parokya Ni Edgar,1,1,1
2021-01-22,WITHOUT YOU,NCT 2018 EMPATHY,NCT,2,2,1
2021-01-22,PIRI,The End of Nightmare,Dreamcatcher,2,2,1
2021-01-22,The Boys,The Boys,소녀시대,2,2,1
2021-01-22,Counting Stars,Native,OneRepublic,2,2,1
2021-01-22,Unconditionally,PRISM (Deluxe),Katy Perry,2,2,1
2021-01-22,HUMAN,Human,dodie,2,1,2
2021-01-22,Into You,Dangerous Woman,Ariana Grande,2,2,1
2021-01-22,Minecraft,Minecraft - Volume Alpha,C418,1,1,1
2021-01-22,TOUCH,NCT 2018 EMPATHY,NCT,1,1,1
2021-01-22,Right Here,THE BOYZ 1st Single Album [THE SPHERE],The Boyz,1,1,1
2021-01-22,Bad Boy,The Perfect Red Velvet - The 2nd Album Repackage,Red Velvet,1,1,1
2021-01-22,7월 7일 One of These Nights,The Velvet - The 2nd Mini Album,Red Velvet,1,1,1
2021-01-22,I Want You to Know,True Colors,Zedd,1,1,1
2021-01-22,Pills n Potions,The Pinkprint (International Deluxe Explicit),Nicki Minaj,1,1,1
2021-01-22,Mrs. Potato Head,Cry Baby (Deluxe Edition),Melanie Martinez,3,3,1
2021-01-22,Death of a Bachelor,Death of a Bachelor,Panic! at the Disco,1,1,1
2021-01-22,Womanizer,Circus (Deluxe Version),Britney Spears,1,1,1
2021-01-22,Answer,TREASURE EPILOGUE : Action To Answer,ATEEZ,1,1,1
2021-01-22,Clarity,Clarity,Zedd,2,2,1
2021-01-22,FANCY,FANCY YOU,TWICE,1,1,1
2021-01-22,We Go Up,We Go Up - The 2nd Mini Album,NCT DREAM,2,2,1
2021-01-22,FOOLS,Blue Neighbourhood (Deluxe),Troye Sivan,1,1,1
2021-01-22,Happy Little Pill,TRXYE,Troye Sivan,1,1,1
2021-01-22,drivers license,drivers license,Olivia Rodrigo,1,1,1
2021-01-22,Don’t Blame Me,reputation,Taylor Swift,3,3,1
2021-01-22,Guiltless,Guiltless,dodie,1,1,1
2021-01-22,Butterfly,[X X],Loona,1,1,1
2021-01-22,Home,SEVENTEEN 6TH MINI ALBUM 'YOU MADE MY DAWN',Seventeen,1,1,1
2021-01-22,Sonatine,Love & Evil,LOOΠΔ 1/3,1,1,1
2021-01-22,ONE IN A MILLION,TWICEcoaster: LANE 1,TWICE,1,1,1
2021-01-22,Boy,THE BOYZ DEBUT ALBUM [THE FIRST],The Boyz,2,2,1
2021-01-22,XS,SAWAYAMA,Rina Sawayama,1,1,1
