Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak
2025-08-15,1,1,2,True,False,573,0.27,Stacy's Mom,Bowling for Soup,I've Never Done Anything Like This,55,52,3,275,156,6,72100875,11924,30903120,0.85,0.09,0.06,351890,437,135,0,1,2,1
2025-08-15,2,-1,1,False,False,569,0.1,Weightless,All Time Low,Nothing Personal (Deluxe Version),50,50,1,250,150,2,65835000,11516,10346220,0.88,0.1,0.02,324513,402,155,10,1,3,1
2025-08-15,3,=,3,False,True,520,0.21,A Little Less Sixteen Candles a Little More Touch Me,Fall Out Boy,From Under the Cork Tree,47,47,1,235,141,2,63784875,11157,10662480,0.88,0.1,0.02,314545,378,129,12,3,5,2
2025-08-15,4,2,6,False,False,490,0.96,Can't Keep My Hands Off You (feat. Rivers Cuomo),Simple Plan,Get Your Heart On! (Deluxe Edition),51,50,2,255,150,4,76576500,13129,23583960,0.86,0.1,0.04,377083,409,75,5,1,10,3
2025-08-15,5,8,13,True,False,428,1.61,Beggin (Original Version),Madcon,So Dark The Con Of Man,47,47,1,235,141,2,62699174,10967,10481760,0.88,0.1,0.02,309225,378,49,0,5,2,1
2025-08-15,6,9,15,True,False,350,1.59,Manchild,Sabrina Carpenter,Manchild,43,28,5,215,84,10,61336275,6985,56023200,0.82,0.06,0.12,264404,309,40,0,6,5,1
2025-08-15,7,31,38,False,False,314,3.76,Sleep,My Chemical Romance,The Black Parade,35,33,3,175,99,6,51339750,8465,34562700,0.82,0.09,0.09,253967,280,19,13,6,23,1
2025-08-15,8,-3,5,False,False,284,0.11,Down,blink-182,blink-182,21,21,1,105,63,2,30803850,5387,11520900,0.85,0.1,0.05,153811,170,76,37,1,24,7
2025-08-15,9,-5,4,False,False,283,0.01,The Bends,Radiohead,The Bends,20,20,1,100,60,2,30434250,5322,11950110,0.85,0.1,0.05,152110,162,84,36,3,7,1
2025-08-15,10,RE,--,True,False,271,--,Just,Radiohead,The Bends,31,31,1,155,93,2,43861125,7671,11114280,0.87,0.1,0.03,217413,250,0,20,10,5,1
2025-08-15,11,-3,8,False,False,267,0.14,Hash Pipe,Weezer,Weezer,20,20,1,100,60,2,31531500,5513,12379320,0.85,0.1,0.05,157563,162,70,33,4,13,4
2025-08-15,12,-5,7,False,False,266,0.09,Troublemaker,Weezer,Weezer (Red Album),20,20,1,100,60,2,27835500,4868,10933560,0.85,0.1,0.05,139195,162,73,30,3,12,2
2025-08-15,13,-4,9,False,False,261,0.14,In Bloom,Nirvana,Nevermind (Remastered),20,20,1,100,60,2,27431250,4798,10775430,0.85,0.1,0.05,137186,162,68,30,2,9,1
2025-08-15,14,-2,12,False,False,261,0.58,GENIE,소녀시대,Oh!,20,20,1,100,60,2,26853750,4697,10549530,0.85,0.1,0.05,134316,162,49,49,1,12,1
2025-08-15,15,-4,11,False,False,256,0.51,Keeper,TWICE,STRATEGY,20,20,1,100,60,2,27662250,4838,10865790,0.85,0.1,0.05,138334,162,51,42,1,18,1
2025-08-15,16,2,18,False,False,252,1.27,The Rock Show,blink-182,Take Off Your Pants and Jacket,24,23,2,120,69,4,33887700,5680,22183380,0.83,0.09,0.09,168756,193,33,24,1,29,3
2025-08-15,17,4,21,False,False,248,1.51,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,Red (Taylor's Version),28,24,3,140,72,6,36705900,5503,30903120,0.81,0.08,0.11,175945,218,29,0,1,108,2
2025-08-15,18,-8,10,False,False,248,0.19,The Burn,Matchbox Twenty,Mad Season,20,20,1,100,60,2,27893250,4878,10956150,0.85,0.1,0.05,139482,162,62,22,6,16,1
2025-08-15,19,-3,16,False,False,245,0.94,2 hands,Tate McRae,So Close to What,22,21,2,110,63,4,29793225,4974,21279780,0.82,0.09,0.09,148680,177,37,29,1,23,2
2025-08-15,20,-6,14,False,False,240,0.56,We Are Never Ever Getting Back Together,Taylor Swift,Red (Deluxe Version),24,23,2,120,69,4,37491300,6282,24532740,0.83,0.09,0.09,186592,193,46,0,9,16,1
2025-08-15,21,-4,17,False,False,234,0.9,Sports car,Tate McRae,So Close to What,21,21,1,105,63,2,28257075,4942,10572120,0.85,0.1,0.05,141169,170,36,26,1,23,4
2025-08-15,22,-3,19,False,False,231,1.14,I Miss You,blink-182,blink-182,23,21,2,115,63,4,33405487,5334,22815900,0.83,0.08,0.09,162932,182,32,15,3,26,2
2025-08-15,23,11,34,False,False,218,1.83,I know love (feat. The Kid LAROI),Tate McRae,So Close to What,21,21,1,105,63,2,27650700,4836,10346220,0.85,0.1,0.05,138159,170,23,23,4,18,1
2025-08-15,24,1,25,False,False,211,1.48,bloodonmyhands (feat. Flo Milli),Tate McRae,So Close to What,20,20,1,100,60,2,30145500,5271,11837160,0.85,0.1,0.05,150675,162,25,23,3,18,1
2025-08-15,25,1,26,False,False,205,1.44,Hell Above,Pierce the Veil,Collide With the Sky,19,19,1,95,57,2,27486112,4807,11362770,0.85,0.1,0.06,137592,154,25,24,2,19,1
2025-08-15,26,1,27,False,False,204,1.46,Mad Season,Matchbox Twenty,Mad Season,20,20,1,100,60,2,30030000,5251,11791980,0.85,0.1,0.05,150101,162,24,16,1,28,4
2025-08-15,27,2,29,False,False,202,1.49,May These Noises Startle You in Your Sleep Tonight,Pierce the Veil,Collide With the Sky,19,19,1,95,57,2,25181887,4404,10413990,0.85,0.1,0.06,126125,154,24,22,3,19,2
2025-08-15,28,5,33,False,False,200,1.53,Dear god,Tate McRae,So Close to What,19,19,1,95,57,2,29022262,5075,11995290,0.85,0.1,0.06,145236,154,23,21,2,9,2
2025-08-15,29,-1,28,False,False,195,1.41,If You're Gone,Matchbox Twenty,Mad Season,19,19,1,95,57,2,25401337,4443,10504350,0.85,0.1,0.06,127218,154,24,16,2,29,1
2025-08-15,30,5,35,False,False,194,1.69,Always,blink-182,blink-182,19,19,1,95,57,2,24688125,4318,10210680,0.85,0.1,0.06,123669,154,21,17,3,26,1
2025-08-15,31,29,60,True,False,189,4.25,Dirty Little Secret,The All-American Rejects,Move Along,21,21,1,105,63,2,33168712,5800,12401910,0.85,0.1,0.05,135450,170,10,8,31,5,1
2025-08-15,32,-12,20,False,False,143,0.42,Sulk,Radiohead,The Bends,10,10,1,50,30,2,15650250,2736,12288960,0.81,0.09,0.1,80115,82,30,29,8,7,1
2025-08-15,33,RE,--,False,False,138,--,St. Jimmy,Green Day,American Idiot,17,17,1,85,51,2,24298312,4249,11227230,0.84,0.09,0.06,122010,138,0,0,8,28,1
2025-08-15,34,RE,--,False,False,137,--,What's My Age Again?,blink-182,Enema of the State,16,16,1,80,48,2,24439800,4273,11995290,0.84,0.09,0.07,122892,130,0,6,1,38,2
2025-08-15,35,-3,32,False,False,128,0.62,Hold On Till May,Pierce the Veil,Collide With the Sky,10,10,1,50,30,2,13455750,2353,10572120,0.81,0.09,0.1,68943,82,23,21,7,16,1
2025-08-15,36,4,40,False,False,91,0.54,Aliens Exist,blink-182,Enema of the State,7,7,1,35,21,2,9782850,1711,10978740,0.77,0.09,0.14,51135,58,17,14,2,35,1
2025-08-15,37,30,67,False,False,66,1.54,Warning,Green Day,Warning,7,7,1,35,21,2,10146675,1774,11385360,0.77,0.09,0.14,53025,58,7,0,19,13,1
2025-08-15,38,52,90,False,False,64,2.56,Womanizer,Britney Spears,Circus,8,4,3,40,12,6,11457600,1001,33749460,0.66,0.04,0.31,52395,58,5,0,3,38,1
2025-08-15,39,=,39,False,False,60,0.02,Getaway Car,Taylor Swift,reputation,6,2,3,30,6,6,8298675,483,32597370,0.6,0.02,0.38,37114,42,17,0,6,16,1
2025-08-15,40,RE,--,False,False,59,--,Bejeweled,Taylor Swift,Midnights (3am Edition),8,1,8,40,3,16,12635700,276,99215280,0.44,0.01,0.55,53550,59,0,0,5,46,2
