Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak,Album Cover
01-03,1,'+1,2,True,False,441,0.97,Fresh Out the Slammer,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,41,37,5,205,111,10,64166025,10125,61444800,0.8,0.08,0.12,316645,326,67,46,1,25,1,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg
01-10,1,'+2,3,True,False,295,-0.22,How You Get the Girl (Taylor's Version),Taylor Swift,1989 (Taylor's Version),19,19,1,95,57,2,28473637,4979,11769390,0.85,0.1,0.06,142506,154,113,26,1,15,1,https://lastfm.freetls.fastly.net/i/u/300x300/f58d29605321bc6e1ee4da6ae5a0cb4a.jpg
01-17,1,RE,--,True,False,351,--,NEXT PAGE,TWICE,TWICEcoaster: LANE 1,45,40,3,225,120,6,61590375,9576,32258520,0.85,0.08,0.07,293832,351,0,0,1,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/800e521774d1b115262ddf400944dcb4.jpg
01-24,1,NEW,--,True,False,358,--,Supersonic,fromis_9,Supersonic,55,13,22,275,39,44,80835562,3341,253956780,0.66,0.02,0.33,322560,358,0,0,1,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/ef61a35f25a51b8af81096cc8a93d2b9.jpg
01-31,1,NEW,--,True,False,378,--,Jet Lag (feat. Natasha Bedingfield),Simple Plan,Get Your Heart On! (Deluxe Edition),53,31,10,265,93,20,76824825,7858,113853600,0.77,0.05,0.18,332290,378,0,0,1,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/30a16584138b41e8b8753314724c12b0.jpg
02-07,1,'+9,10,True,False,539,2.35,She's So Mean,Matchbox Twenty,North (Deluxe Edition),59,59,1,295,177,2,89781037,15700,11950110,0.88,0.1,0.02,441490,474,48,15,1,42,1,https://lastfm.freetls.fastly.net/i/u/300x300/e83aa4de0c404dafb2fbed94789c903b.jpg
02-14,1,'+1,2,True,False,486,0.26,Mad Season,Matchbox Twenty,Mad Season,46,46,1,230,138,2,69069000,12078,11791980,0.88,0.1,0.02,340473,370,115,0,1,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg
02-21,1,'+5,6,True,False,521,0.53,Feeling This,blink-182,blink-182,52,52,1,260,156,2,68017950,11898,10278450,0.88,0.1,0.02,335160,418,102,0,1,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
02-28,1,'+1,2,False,True,561,0.13,Mad Season,Matchbox Twenty,Mad Season,39,38,2,195,114,4,58558500,9978,23583960,0.85,0.09,0.05,289219,313,149,97,1,4,2,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg
03-07,1,'=,1,False,True,631,0.12,Mad Season,Matchbox Twenty,Mad Season,45,45,1,225,135,2,67567500,11816,11791980,0.88,0.1,0.02,333151,362,168,99,1,5,3,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg
03-14,1,'=,1,False,True,473,-0.25,Mad Season,Matchbox Twenty,Mad Season,21,21,1,105,63,2,31531500,5514,11791980,0.85,0.1,0.05,157423,170,189,112,1,6,4,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg
03-21,1,'+11,12,True,False,988,3.26,Sports car,Tate McRae,So Close to What,124,90,14,620,270,28,166851300,21183,148009680,0.82,0.07,0.12,748524,918,69,0,1,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png
03-28,1,'=,1,False,True,585,-0.41,Sports car,Tate McRae,So Close to What,31,22,10,155,66,20,41712825,5178,105721200,0.67,0.05,0.27,206829,241,296,46,1,3,2,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png
04-04,1,'=,1,False,True,440,-0.25,Sports car,Tate McRae,So Close to What,8,8,1,40,24,2,10764600,1882,10572120,0.79,0.09,0.12,55811,66,175,197,1,4,3,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png
04-11,1,'+2,3,True,False,544,0.59,2 hands,Tate McRae,So Close to What,51,16,27,255,48,54,69066112,3790,287277030,0.59,0.02,0.39,310576,357,102,84,1,5,1,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png
