Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak,Album Cover
2026-02-20,1,'=,1,False,True,377,-0.28,Mr. Brightside,The Killers,Hot Fuss,52,28,8,90,30,10,27182925,2640,59298750,0.71,0.04,0.25,121506,130,156,91,1,13,8,https://lastfm.freetls.fastly.net/i/u/300x300/fae9c99bbb6ae827b508a97328551912.jpg
2026-02-20,2,'=,2,False,True,247,-0.24,Opalite,Taylor Swift,The Life of a Showgirl,31,21,7,55,21,6,16675312,1855,35714790,0.71,0.05,0.24,77616,82,97,68,2,21,6,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png
2026-02-20,3,'=,3,False,False,226,-0.23,Smile Like You Mean It,The Killers,Hot Fuss,28,18,8,65,27,10,17605087,2131,53199450,0.64,0.05,0.31,89208,102,87,37,2,6,2,https://lastfm.freetls.fastly.net/i/u/300x300/fae9c99bbb6ae827b508a97328551912.jpg
2026-02-20,4,'+2,6,False,False,203,-0.17,Father Figure,Taylor Swift,The Life of a Showgirl,23,23,1,25,15,2,7262062,1270,11407950,0.73,0.08,0.18,38962,42,73,88,1,21,6,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png
2026-02-20,5,NEW,--,True,False,200,--,Reality in Motion,Tame Impala,Currents,25,23,3,125,69,6,38836875,6248,36595800,0.8,0.08,0.12,193137,200,0,0,5,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/dd45b0438a315aed98b5830aa2fc43c5.jpg
2026-02-20,6,'+13,19,False,False,194,0.24,Stateside,PinkPantheress,Fancy That,23,19,4,70,36,6,21991200,3296,37002420,0.73,0.07,0.2,111041,112,46,36,3,12,1,https://lastfm.freetls.fastly.net/i/u/300x300/2c3b94a8c2de9fc832fca701f48a85f4.jpg
2026-02-20,7,NEW,--,True,False,190,--,Eventually,Tame Impala,Currents,24,20,5,120,60,10,35065800,5110,57378600,0.74,0.07,0.19,174587,190,0,0,7,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/dd45b0438a315aed98b5830aa2fc43c5.jpg
2026-02-20,8,'-1,7,False,False,175,-0.21,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,20,19,1,25,15,2,6727875,1176,10572120,0.73,0.08,0.18,36113,42,66,67,3,21,3,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png
2026-02-20,9,'-5,4,False,False,169,-0.38,My Own Worst Enemy,Lit,A Place in the Sun,22,14,4,30,18,2,7813575,1366,10233270,0.76,0.09,0.16,41314,50,81,38,2,9,1,https://lastfm.freetls.fastly.net/i/u/300x300/7d8b7d44df2c1365918fccef438e2640.jpg
2026-02-20,10,'+1,11,False,False,146,-0.24,Wood,Taylor Swift,The Life of a Showgirl,16,16,1,15,9,2,4495837,786,11769390,0.65,0.07,0.27,25578,26,57,63,5,21,2,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png
2026-02-20,11,'+35,46,True,False,134,0.63,Crush,David Archuleta,David Archuleta,19,9,4,80,24,6,23053800,2016,33952770,0.77,0.04,0.18,94878,110,24,0,11,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/46175fbf77644a42923d1dab3156b886.png
2026-02-20,12,'=,12,False,False,133,-0.25,Manchild,Sabrina Carpenter,Manchild,15,14,2,25,15,2,7132125,1247,11204640,0.73,0.08,0.18,38269,42,53,38,3,26,2,https://lastfm.freetls.fastly.net/i/u/300x300/02acf4d89bcc82933e1f767ed71cb910.jpg
2026-02-20,13,'-5,8,False,False,126,-0.39,She's Got A Boyfriend Now,Boys Like Girls,Love Drunk,14,14,1,20,12,2,6040650,1056,11859750,0.7,0.08,0.22,33138,34,61,31,5,9,1,https://lastfm.freetls.fastly.net/i/u/300x300/46924f64b0604a7fb33075d69c0379f9.png
2026-02-20,14,'-9,5,False,False,124,-0.5,She's So Mean,Matchbox Twenty,North (Deluxe Edition),19,6,5,35,9,6,10651987,798,35850330,0.63,0.03,0.34,48230,50,74,0,1,84,1,https://lastfm.freetls.fastly.net/i/u/300x300/e83aa4de0c404dafb2fbed94789c903b.jpg
2026-02-20,15,'+3,18,False,False,121,-0.24,Down,blink-182,blink-182,13,10,3,25,15,2,7334250,1282,11520900,0.73,0.08,0.18,39347,42,47,32,1,51,7,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2026-02-20,16,'-6,10,False,False,120,-0.39,Chemicals Collide,Boys Like Girls,Love Drunk,13,13,1,20,12,2,5486250,959,10775430,0.7,0.08,0.22,30114,34,58,28,9,9,1,https://lastfm.freetls.fastly.net/i/u/300x300/46924f64b0604a7fb33075d69c0379f9.png
2026-02-20,17,'-8,9,False,False,119,-0.41,Hot & Sexy,Zara Larsson,Midnight Sun,14,11,3,15,9,2,4625775,808,12108240,0.65,0.07,0.27,26313,26,60,33,6,8,1,https://lastfm.freetls.fastly.net/i/u/300x300/d0c78dc3a80e2e45ac4972089360a051.jpg
2026-02-20,18,'+17,35,False,False,113,-0.05,Fame Is a Gun,Addison Rae,Addison,13,12,1,25,15,2,7565250,1323,11882340,0.73,0.08,0.18,40579,42,35,36,1,26,1,https://lastfm.freetls.fastly.net/i/u/300x300/16cf624f60941f15aa0ddef16dba430e.png
2026-02-20,19,'-4,15,False,False,112,-0.33,American Idiot,Green Day,American Idiot,14,8,4,10,6,2,2627625,459,10323630,0.58,0.06,0.36,16030,18,50,44,1,64,1,https://lastfm.freetls.fastly.net/i/u/300x300/5bcb675866706c229ad9f77188b8ac44.jpg
