Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Previous Week Raw Points,Two Weeks Ago Raw Points,Peak,WOC,Peak Streak,Album Cover
2026-03-27,1,'=,1,False,True,482,-0.09,Outbound,After,After EP 2,24,19,5,120,57,10,93272025,12891,94516560,0.8,0.07,0.13,436492,187,158,137,528,687,1,6,5,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-03-27,2,'+1,3,True,False,338,0.12,I'm Low on Gas and You Need a Jacket,Pierce the Veil,Collide With the Sky,35,21,5,175,63,10,71249062,7688,71429580,0.81,0.06,0.13,303072,248,90,0,301,0,2,21,1,https://lastfm.freetls.fastly.net/i/u/300x300/557643a8faaa35768cb6088f576fed30.jpg
2026-03-27,3,'-1,2,False,False,333,0.0,Mr. Brightside,The Killers,Hot Fuss,21,15,3,105,45,6,63426825,8451,35579250,0.85,0.07,0.08,283514,156,99,78,333,390,1,18,8,https://lastfm.freetls.fastly.net/i/u/300x300/fae9c99bbb6ae827b508a97328551912.jpg
2026-03-27,4,'+1,5,False,True,254,-0.1,Eventually,Tame Impala,Currents,13,13,1,65,39,2,42371175,7410,11475720,0.87,0.1,0.04,210217,106,84,64,282,321,4,6,2,https://lastfm.freetls.fastly.net/i/u/300x300/dd45b0438a315aed98b5830aa2fc43c5.jpg
2026-03-27,5,'+3,8,True,False,250,-0.09,Pork and Beans,Weezer,Weezer (Deluxe Edition),22,16,5,110,48,10,44352000,6060,54441900,0.78,0.07,0.15,209622,168,82,0,274,0,5,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/e6ea145e22093f2a03b54dafe61da18b.jpg
2026-03-27,6,'+13,19,False,False,232,0.01,She's So Mean,Matchbox Twenty,North (Deluxe Edition),15,11,3,75,33,6,44129662,6120,35850330,0.82,0.07,0.11,204050,114,68,50,229,251,1,89,1,https://lastfm.freetls.fastly.net/i/u/300x300/e83aa4de0c404dafb2fbed94789c903b.jpg
2026-03-27,7,'-1,6,False,False,224,-0.2,Reality in Motion,Tame Impala,Currents,10,10,1,50,30,2,40390350,7063,12198600,0.86,0.1,0.04,200711,82,83,59,279,298,5,6,1,https://lastfm.freetls.fastly.net/i/u/300x300/dd45b0438a315aed98b5830aa2fc43c5.jpg
2026-03-27,8,'-1,7,False,False,221,-0.21,My Own Worst Enemy,Lit,A Place in the Sun,10,10,1,50,30,2,35161087,5695,10233270,0.87,0.09,0.04,168434,82,83,56,279,283,2,14,1,https://lastfm.freetls.fastly.net/i/u/300x300/7d8b7d44df2c1365918fccef438e2640.jpg
2026-03-27,9,'+7,16,True,False,218,-0.07,Go Away,Weezer,Everything Will Be Alright in the End,12,10,3,60,30,6,38138100,6156,34562700,0.8,0.08,0.12,189581,96,70,52,234,261,9,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/f9a1b19e001fe2adb697f55df60aacdd.png
2026-03-27,10,'+15,25,True,False,216,0.01,Honey,Taylor Swift,The Life of a Showgirl,15,9,5,75,27,10,38138100,4874,57604500,0.76,0.06,0.18,178850,112,64,40,214,202,10,22,1,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png
2026-03-27,11,'+7,18,False,False,215,-0.07,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,13,11,3,65,33,6,34984950,5413,31716359,0.8,0.08,0.12,170716,104,69,42,231,213,3,26,3,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png
2026-03-27,12,'=,12,False,False,214,-0.12,She's Got A Boyfriend Now,Boys Like Girls,Love Drunk,11,11,1,55,33,2,37754062,6602,11859750,0.86,0.1,0.04,187782,90,72,52,243,264,5,14,1,https://lastfm.freetls.fastly.net/i/u/300x300/46924f64b0604a7fb33075d69c0379f9.png
2026-03-27,13,'+1,14,False,False,214,-0.11,Chemicals Collide,Boys Like Girls,Love Drunk,11,11,1,55,33,2,34289062,5997,10775430,0.86,0.1,0.04,170646,90,72,52,241,263,9,14,1,https://lastfm.freetls.fastly.net/i/u/300x300/46924f64b0604a7fb33075d69c0379f9.png
2026-03-27,14,'-10,4,False,False,210,-0.28,Troublemaker,Weezer,Weezer (Red Album),14,14,1,70,42,2,34794375,6085,10933560,0.86,0.1,0.04,173145,114,87,9,290,49,3,23,2,https://lastfm.freetls.fastly.net/i/u/300x300/90d314e8b6456111f7ab90583e2df277.png
2026-03-27,15,'-4,11,False,False,210,-0.15,Opalite,Taylor Swift,The Life of a Showgirl,11,11,1,55,33,2,36382500,6362,11904930,0.86,0.1,0.04,181104,90,73,47,246,237,2,26,6,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png
2026-03-27,16,'-3,13,False,False,203,-0.16,Stateside,PinkPantheress,Fancy That,9,9,1,45,27,2,37699200,6317,12334140,0.86,0.09,0.04,183792,74,72,57,242,288,3,17,1,https://lastfm.freetls.fastly.net/i/u/300x300/2c3b94a8c2de9fc832fca701f48a85f4.jpg
2026-03-27,17,'+4,21,False,False,196,-0.13,Father Figure,Taylor Swift,The Life of a Showgirl,11,11,1,55,33,2,31953075,5588,11407950,0.86,0.1,0.05,159390,90,67,39,226,197,1,26,6,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png
