Week,Position,Rise/Fall,Song,Artist,Album,Total Points,Streams Points,Sales Points,Airplay Points
2024-01-05,1,NEW,Basket Case,Green Day,Green Day,312,200k,108k,4k
2024-01-05,2,NEW,American Idiot,Green Day,Green Day,309,195k,102k,12k
2024-01-05,3,NEW,Teenagers,My Chemical Romance,My Chemical Romance,234,145k,87k,2k
2024-01-05,4,NEW,Wake Me Up When September Ends,Green Day,Green Day,226,140k,84k,2k
2024-01-05,5,NEW,Welcome to the Black Parade,My Chemical Romance,My Chemical Romance,218,135k,81k,2k
2024-01-05,6,NEW,Holiday / Boulevard of Broken Dreams,Green Day,Green Day,202,125k,75k,2k
2024-01-05,7,NEW,Dead!,My Chemical Romance,My Chemical Romance,194,120k,72k,2k
2024-01-05,8,NEW,I Don't Love You,My Chemical Romance,My Chemical Romance,178,110k,66k,2k
2024-01-05,9,NEW,Famous Last Words,My Chemical Romance,My Chemical Romance,170,105k,63k,2k
2024-01-05,10,NEW,21 Guns,Green Day,Green Day,105,65k,36k,4k
2024-01-05,11,NEW,Since U Been Gone,Kelly Clarkson,Kelly Clarkson,82,50k,30k,2k
2024-01-05,12,NEW,Take on Me,a-ha,a-ha,80,50k,24k,6k
2024-01-05,13,NEW,Hard Feelings/Loveless,Lorde,Lorde,77,50k,15k,12k
2024-01-05,14,NEW,Breakaway,Kelly Clarkson,Kelly Clarkson,74,45k,27k,2k
2024-01-05,15,NEW,Style (Taylor's Version),Taylor Swift,Taylor Swift,74,45k,27k,2k
2024-01-05,16,NEW,Shake It Off (Taylor's Version),Taylor Swift,Taylor Swift,74,45k,27k,2k
2024-01-05,17,NEW,Uptown Girl,Westlife,Westlife,73,45k,24k,4k
2024-01-05,18,NEW,A Thousand Miles,Vanessa Carlton,Vanessa Carlton,66,40k,24k,2k
2024-01-05,19,NEW,Look Ma No Brains!,Green Day,Green Day,66,40k,24k,2k
2024-01-05,20,NEW,The American Dream Is Killing Me,Green Day,Green Day,66,40k,24k,2k
2024-01-05,21,NEW,Dilemma,Green Day,Green Day,66,40k,24k,2k
2024-01-05,22,NEW,Because of You,Kelly Clarkson,Kelly Clarkson,66,40k,24k,2k
2024-01-05,23,NEW,My Life Would Suck Without You,Kelly Clarkson,Kelly Clarkson,66,40k,24k,2k
2024-01-05,24,NEW,Blank Space (Taylor's Version),Taylor Swift,Taylor Swift,66,40k,24k,2k
2024-01-05,25,NEW,One Eyed Bastard,Green Day,Green Day,65,40k,21k,4k
2024-01-05,26,NEW,Make Your Own Kind of Music,Cass Elliot,Cass Elliot,58,35k,21k,2k
2024-01-05,27,NEW,burned out,dodie,dodie,58,35k,21k,2k
