Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak,Album Cover
2022-10-21,1,NEW,--,True,False,456,--,Midnight Rain,Taylor Swift,Midnights (3am Edition),57,53,6,285,159,12,82293750,13356,67770000,0.81,0.08,0.11,406000,456,0,0,1,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/8cf29cb75e6adfb8700b1665105a0ac8.jpg
2022-10-21,2,NEW,--,True,False,428,--,Snow on the Beach (feat. Lana Del Rey),Taylor Swift,Midnights (3am Edition),53,53,2,265,159,4,76518750,13356,22590000,0.86,0.1,0.04,378000,428,0,0,2,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/8cf29cb75e6adfb8700b1665105a0ac8.jpg
2022-10-21,3,NEW,--,True,False,372,--,Lavender Haze,Taylor Swift,Midnights (3am Edition),46,46,2,230,138,4,66412500,11592,22590000,0.86,0.1,0.05,329000,372,0,0,3,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/8cf29cb75e6adfb8700b1665105a0ac8.jpg
2022-10-21,4,NEW,--,True,False,354,--,Would've Could've Should've,Taylor Swift,Midnights (3am Edition),44,44,1,220,132,2,63525000,11088,11295000,0.88,0.1,0.02,311500,354,0,0,4,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/8cf29cb75e6adfb8700b1665105a0ac8.jpg
2022-10-21,5,NEW,--,True,False,347,--,Bejeweled,Taylor Swift,Midnights (3am Edition),43,42,3,215,126,6,62081250,10584,33885000,0.84,0.09,0.07,308000,347,0,0,5,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/8cf29cb75e6adfb8700b1665105a0ac8.jpg
2022-10-21,6,NEW,--,True,False,323,--,Question...?,Taylor Swift,Midnights (3am Edition),40,39,3,200,117,6,57750000,9828,33885000,0.83,0.09,0.08,287000,323,0,0,6,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/8cf29cb75e6adfb8700b1665105a0ac8.jpg
2022-10-21,7,'+9,16,False,False,259,1.38,Wildest Dreams (Taylor's Version),Taylor Swift,Wildest Dreams (Taylor's Version),27,27,1,135,81,2,38981250,6804,11295000,0.86,0.1,0.04,192500,218,33,8,1,25,5,https://lastfm.freetls.fastly.net/i/u/300x300/23b25b0848522ddb677cb8011288a713.jpg
2022-10-21,8,'+18,26,False,False,250,2.16,Sad Beautiful Tragic (Taylor's Version),Taylor Swift,Red (Taylor's Version),28,28,1,140,84,2,40425000,7056,11295000,0.86,0.1,0.04,199500,226,24,0,7,27,1,https://lastfm.freetls.fastly.net/i/u/300x300/a758908e6e86dcecbb199c4b19acb799.jpg
2022-10-21,9,RE,--,False,False,239,--,I Knew You Were Trouble (Taylor's Version),Taylor Swift,Red (Taylor's Version),29,28,2,145,84,4,41868750,7056,22590000,0.84,0.09,0.07,206500,233,0,6,4,17,1,https://lastfm.freetls.fastly.net/i/u/300x300/a758908e6e86dcecbb199c4b19acb799.jpg
2022-10-21,10,'+20,30,True,False,233,2.15,Reckless,Madison Beer,Reckless,26,26,1,130,78,2,37537500,6552,11295000,0.86,0.1,0.04,185500,210,23,0,10,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/e4fcfd8daef26e562c4ad2acb8d109d6.jpg
2022-10-21,11,NEW,--,True,False,228,--,Anti-Hero,Taylor Swift,Midnights,28,28,2,140,84,4,40425000,7056,22590000,0.83,0.09,0.07,203000,228,0,0,11,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/8914bab2a0e4e454c6892f151d57208f.png
2022-10-21,12,NEW,--,True,False,212,--,You're on Your Own Kid,Taylor Swift,Midnights (3am Edition),26,26,2,130,78,4,37537500,6552,22590000,0.83,0.09,0.08,189000,212,0,0,12,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/8cf29cb75e6adfb8700b1665105a0ac8.jpg
