Week,Position,Rise/Fall,Previous Rank,New Peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Album Cover
2025-04-11,1,'=,1,False,397,-0.18,Sports car,Tate McRae,So Close to What,14,14,1,70,42,2,700000,42000,100000,0.83,0.05,0.12,842000,114,147,136,1,4,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png
2025-04-11,2,'=,2,False,317,-0.15,2 hands,Tate McRae,So Close to What,14,14,1,70,42,2,700000,42000,100000,0.83,0.05,0.12,842000,114,113,90,2,4,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png
2025-04-11,3,'+1,4,False,312,-0.14,Revolving Door,Tate McRae,So Close to What,14,14,1,70,42,2,700000,42000,100000,0.83,0.05,0.12,842000,114,110,88,3,4,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png
2025-04-11,4,'+2,6,False,279,-0.01,It's OK I'm OK,Tate McRae,So Close to What,15,15,1,75,45,2,750000,45000,100000,0.84,0.05,0.11,895000,122,85,72,4,4,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png
2025-04-11,5,'+3,8,False,273,0.01,Miss Possessive,Tate McRae,So Close to What,15,15,1,75,45,2,750000,45000,100000,0.84,0.05,0.11,895000,122,81,70,5,4,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png
2025-04-11,6,'+3,9,True,266,0.05,Purple Lace Bra,Tate McRae,So Close to What,15,15,1,75,45,2,750000,45000,100000,0.84,0.05,0.11,895000,122,77,67,6,4,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png
2025-04-11,7,'-4,3,False,243,-0.33,Fresh Out the Slammer,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,13,9,5,65,27,10,650000,27000,500000,0.55,0.02,0.42,1177000,102,110,31,1,36,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg
2025-04-11,8,'-3,5,False,234,-0.28,Mad Season,Matchbox Twenty,Mad Season,8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,98,70,1,9,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg
2025-04-11,9,'-2,7,False,198,-0.29,Last Beautiful Girl,Matchbox Twenty,Mad Season,11,11,1,55,33,2,550000,33000,100000,0.81,0.05,0.15,683000,90,84,24,7,3,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg
2025-04-11,10,'+26,36,True,185,1.01,Down,blink-182,blink-182,16,13,3,80,39,6,800000,39000,300000,0.7,0.03,0.26,1139000,125,28,32,10,6,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2025-04-11,11,'+8,19,False,175,-0.04,Los Angeles,blink-182,California (Deluxe Edition),8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,55,54,8,4,https://lastfm.freetls.fastly.net/i/u/300x300/ccd85fcfa4370e1df83a67c7fa79096c.png
2025-04-11,12,'+8,20,True,171,0.05,Angry,Matchbox Twenty,Mad Season,11,11,1,55,33,2,550000,33000,100000,0.81,0.05,0.15,683000,90,49,32,12,5,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg
2025-04-11,13,'+2,15,False,170,-0.17,Easy Target,blink-182,blink-182,8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,62,42,8,6,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2025-04-11,14,'+2,16,False,168,-0.13,Scattered,Green Day,Nimrod,8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,58,44,4,34,https://lastfm.freetls.fastly.net/i/u/300x300/cc7bcc37cf9f88e4700dfb9500d1b241.jpg
2025-04-11,15,'-3,12,False,165,-0.23,She's So Mean,Matchbox Twenty,North (Deluxe Edition),9,9,1,45,27,2,450000,27000,100000,0.78,0.05,0.17,577000,74,65,26,1,51,https://lastfm.freetls.fastly.net/i/u/300x300/e83aa4de0c404dafb2fbed94789c903b.jpg
2025-04-11,16,'-5,11,False,164,-0.26,Obvious,blink-182,blink-182,6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,67,47,5,7,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2025-04-11,17,'-7,10,False,162,-0.3,I Miss You,blink-182,blink-182,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,70,50,3,10,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2025-04-11,18,'+7,25,False,154,0.05,If You're Gone,Matchbox Twenty,Mad Season,9,9,1,45,27,2,450000,27000,100000,0.78,0.05,0.17,577000,74,45,35,3,11,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg
2025-04-11,19,'+7,26,False,150,0.09,Bent,Matchbox Twenty,Mad Season,9,9,1,45,27,2,450000,27000,100000,0.78,0.05,0.17,577000,74,42,34,4,10,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg
