Rank,Song,Artist,Album,Album Cover,Total Points,Most Recent Week Points,Total Streams,Total Sales,Total Airplay,Total Units,Peak,Peak Streak,Weeks on Chart
1,Sports car,Tate McRae,So Close to What,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png,10085,140,865204725,133902,972635034,4281026,1,4,42
2,2 hands,Tate McRae,So Close to What,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png,9232,153,793583159,126238,861831090,3964800,1,2,42
3,Always,blink-182,blink-182,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png,8267,116,680872500,115221,592219440,3453219,3,1,45
4,Down,blink-182,blink-182,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png,7660,131,709955400,116705,737337600,3587731,1,7,42
5,Jet Lag (feat. Natasha Bedingfield),Simple Plan,Get Your Heart On! (Deluxe Edition),https://lastfm.freetls.fastly.net/i/u/300x300/30a16584138b41e8b8753314724c12b0.jpg,7614,100,710267250,117612,592038720,3556210,1,1,39
6,Mad Season,Matchbox Twenty,Mad Season,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg,7399,89,692191500,117359,554223060,3496255,1,4,33
7,Stacy's Mom,Bowling for Soup,I've Never Done Anything Like This,https://lastfm.freetls.fastly.net/i/u/300x300/abf1742d09fa4720bc17571555c4a9fb.png,6423,114,534857400,88738,360536400,2655170,1,3,21
8,Weightless,All Time Low,Nothing Personal (Deluxe Version),https://lastfm.freetls.fastly.net/i/u/300x300/171d1318b43a4609c68186afdd8e6501.png,5338,66,446361300,72774,310386600,2200894,1,1,20
9,The Rock Show,blink-182,Take Off Your Pants and Jacket,https://lastfm.freetls.fastly.net/i/u/300x300/d1556c35364e423efbfaf1bb0c42663e.png,5218,92,474427794,74310,665501400,2400468,1,3,37
10,If You're Gone,Matchbox Twenty,Mad Season,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg,5023,70,413105953,72011,346643550,2120300,2,1,32
11,Iris,Goo Goo Dolls,Dizzy Up the Girl,https://lastfm.freetls.fastly.net/i/u/300x300/f650f979f3613c2f3f32570500350552.jpg,4954,136,490427429,69632,850874940,2431170,2,1,31
12,Feeling This,blink-182,blink-182,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png,4927,26,410723769,71148,308353500,2090760,1,1,28
13,Can't Keep My Hands Off You (feat. Rivers Cuomo),Simple Plan,Get Your Heart On! (Deluxe Edition),https://lastfm.freetls.fastly.net/i/u/300x300/30a16584138b41e8b8753314724c12b0.jpg,4838,36,481981500,84018,235839600,2419921,1,3,19
14,My Man on Willpower,Sabrina Carpenter,Man’s Best Friend,https://lastfm.freetls.fastly.net/i/u/300x300/6bbc8416c1f1c3a25054d4ae3b5fbb35.png,4791,144,425836950,59446,529961390,2033005,1,3,18
